#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
A1N0001,Tweefontein,BOMOLOPO,-25.54972222,25.9275,F,1977/01/21,2011/09/27,GW
A1N0002,Tweefontein,BOMOLOPO,-25.55027778,25.91527778,F,1977/01/21,2011/09/27,GW
A1N0003,Stinkhoutboom,BOMOLOPO,-25.52058328,25.91963408,F,1977/02/18,2000/06/30,GW
A2N0008,Pienaarsrivier Nedersetting,WARMBATHS,-25.225,28.29138889,F,1962/10/03,1972/06/13,GW
A2N0009,Pienaarsrivier Nedersetting,WARMBATHS,-25.21666667,28.3,F,1967/02/28,1973/04/05,GW
A2N0013,Boschfontein,KROONDAL,-25.77916667,27.25416667,F,1966/12/21,1973/10/03,GW
A2N0014,Modderfontein,Kroondal,-25.78279,27.32712,T,1966/12/21,,GW
A2N0015,Oorzaak,KROONDAL,-25.74416667,27.30277778,F,1967/01/24,1998/10/23,GW
A2N0016,Modderfontein,KROONDAL,-25.775,27.29555556,F,1966/12/21,2001/05/14,GW
A2N0017,Spruitfontein,Kroondal,-25.76287,27.32146,F,1966/12/23,2017/03/20,GW
A2N0018,Paardekraal,KROONDAL,-25.60058128,27.27967375,F,1963/05/21,1968/11/20,GW
A2N0019,Waterval,KROONDAL,-25.67555556,27.30833333,F,1966/12/21,1972/03/22,GW
A2N0020,Waterkloof,KROONDAL,-25.69694444,27.30416667,F,1966/11/21,1980/05/27,GW
A2N0021,Waterval,KROONDAL,-25.7,27.26666667,F,1966/12/21,1987/04/07,GW
A2N0023,Paardekraal,KROONDAL,-25.61666667,27.275,F,1967/01/23,1977/07/25,GW
A2N0024,Waterval Rustenburg,KROONDAL,-25.7,27.33305556,F,1967/01/23,1968/12/20,GW
A2N0025,Rooikoppies,KROONDAL,-25.71666667,27.46666667,F,1967/01/23,1972/05/03,GW
A2N0027,Oorzaak,KROONDAL,-25.74416667,27.30277778,F,1967/01/23,1970/11/23,GW
A2N0028,Kroondal,KROONDAL,-25.72333333,27.31805556,F,1964/11/12,1985/03/11,GW
A2N0029,Modderfontein,Kroondal,-25.75881,27.42864,T,1967/01/24,,GW
A2N0032,Spruitfontein,BEAUTY,-25.77057061,27.42967769,F,1967/01/24,1972/07/05,GW
A2N0033,Spruitfontein,VENTERSDORP,-25.77057061,27.42967769,F,1967/01/23,1980/04/29,GW
A2N0034,Rietondale,Pretoria,-25.72929,28.23018,T,1966/12/19,,GW
A2N0035,Rietondale,Pretoria,-25.73,28.23,F,1966/12/19,2010/06/02,GW
A2N0036,Rietondale,Pretoria,-25.73616,28.23721,F,1966/12/19,1981/06/22,GW
A2N0037,Rietondale,Pretoria,-25.73256,28.24027,F,1966/12/19,1979/05/22,GW
A2N0038,Rietondale,Pretoria,-25.73391,28.23832,F,1963/02/04,2009/01/28,GW
A2N0039,Rietondale,Pretoria,-25.72978,28.23693,F,1967/01/24,1979/09/18,GW
A2N0040,Rietondale,Pretoria,-25.73172,28.23693,F,1966/12/19,1979/09/18,GW
A2N0041,Rietondale,Pretoria,-25.71728,28.21638,F,1962/03/08,1968/11/06,GW
