Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
A2H005,Hennops River @ Zwartkop,808,-25.82947,28.14,1904-11-16 to 1950-10-01
A2H045,Krokodil River @ Vlakfontein,653,-25.89275,27.91483,1972-05-25 to 2018-04-25
A3H018,Malmanieloop @ Naauwpoort,,-25.81422,26.04913,1970-04-01 to 1992-05-20
C2H001,Mooi River @ Witrand,3595,-26.64428,27.09033,1904-07-31 to 2019-09-12
C2H004,Suikerbosrant River @ Uitvlugt,3474,-26.67075,28.03044,1952-09-28 to 2017-12-31
C2H006,Mooi River @ Klerkskraal,1335,-26.25272,27.16027,1906-07-01 to 1966-08-06
C2H007,Vaal River @ Pilgrims Estate,63437,-27.01011,26.69808,1938-10-13 to 2019-06-12
C2H009,Skoon Spruit @ Roodepoort,1535,-26.28969,26.83911,1907-04-01 to 1928-09-30
C2H013,Turffontein Upper Eye @ Turffontein,,-26.41019,27.17442,1911-10-28 to 1999-03-03
C2H019,Skoon Spruit @ Roodepoort,1545,-26.31133,26.83716,1951-07-24 to 1969-05-01
C2H020,Klip River @ Witpoortjie,46,-26.18383,27.81827,1952-03-04 to 1965-06-09
C2H023,Wonderfontein Spruit @ Luipaardsvlei,83,-26.22441,27.73969,1957-10-04 to 1994-11-23
C2H024,Wonderfontein Spruit @ Gemsbokfontein,167,-26.28472,27.67997,1957-10-04 to 1996-05-15
C2H025,Wonderfontein Spruit 7 @ Gemsbokfontein,178,-26.28883,27.66922,1959-10-07 to 2006-08-10
C2H026,Middelvlei Spruit @ Middelvlei,26,-26.23302,27.66886,1957-10-05 to 1996-09-13
C2H027,Kocksoord Spruit @ Middelvlei,4,-26.23383,27.65219,1957-10-10 to 1992-12-16
C2H028,Rietfontein Spruit @ Rietfontein,31,-26.24833,27.58969,1957-10-05 to 1993-03-24
C2H031,Mooirivierloop @ Wonderfontein,920,-26.32383,27.41438,1958-03-02 to 1966-05-01
C2H032,Mooirivierloop @ Wonderfontein,964,-26.31722,27.39216,1958-04-01 to 1987-06-08
C2H033,Buffelsdoorn Spruit @ Doornfontein,21,-26.43722,27.32686,1957-10-01 to 1971-02-16
C2H034,Blyvooruitsig Spruit @ Blyvooruitzicht,18,-26.41441,27.40277,1957-09-20 to 1965-06-30
C2H035,Mooirivierloop @ Welverdiend,1333,-26.36941,27.25466,1959-10-01 to 1970-12-31
C2H036,Rietvallei Spruit @ Rietvallei,7.6,-26.37969,27.09966,1957-10-08 to 1960-11-30
C2H037,Du Toit Spruit @ Du Toits Spruit,71,-26.4605,27.05466,1957-10-04 to 1963-11-30
C2H041,Klip River @ Doornkop,112,-26.25863,27.81219,1957-10-01 to 1963-04-20
C2H047,Mooirivierloop @ Kiel,,-26.4505,27.14547,1957-12-01 to 1959-08-24
C2H062,Little-Rietspruit @ Rietfontein,1.4,-26.4058,27.60077,1984-03-08 to 1984-10-29
C2H069,Mooirivierloop @ Blaauwbank,1511,-26.37022,27.24811,1971-05-25 to 2019-06-07
C2H137,Klip River @ Zwartkopjes,,-26.38025,28.0708,2011-10-11 to 2018-08-12
C2H139,Koekemoer Spruit @ Buffelsfontein,818,-26.91606,26.81722,1996-05-22 to 2018-05-31
C2H145,Blesbok Spruit @ Vlakfontein,745,-26.36033,28.51017,2003-11-06 to 2011-05-16
C2H148,Blesbok Spruit @ Nigel,840,-26.39058,28.49728,2003-11-06 to 2013-09-22
C2H149,Blesbok Spruit @ Nigel East,1030,-26.428,28.50333,2003-11-07 to 2005-03-03
C2H272,Vaal @ Bankfontein (Lethabo),,-26.73147,27.99183,2004-07-09 to 2019-09-30
C2H274,Vierfontein Spruit @ Groenfontein,0,-27.07138,26.75833,2005-06-29 to 2019-07-25
C2L001,Margaret 1,,-26.83439,26.80956,2005-09-05 to 2014-09-01
C2L002,Margaret Two,,-26.84627,26.83332,2005-10-10 to 2007-08-24
A2H001,Krokodil River @ Hartbeespoort,2909,-25.73386,27.85969,1904-08-01 to 1922-09-01
A2H002,Magalies River @ Hartbeespoort,1207,-25.74497,27.85158,1904-08-01 to 1942-08-02
A2H003,Hex River @ Olifantspoort,495,-25.77944,27.26638,1904-11-18 to 1930-01-02
A2H004,Plat River @ Roodepoort,137,-24.87002,28.26333,1903-10-01 to 1946-07-20
A2H006,Pienaars River @ Klipdrift,1028,-25.38022,28.3165,1905-03-01 to 2019-07-17
A2H007,Apies River @ Daspoort,142,-25.72888,28.16886,1908-07-01 to 1951-08-01
A2H008,Elandsfontein Eye @ Elandsfontein ,,-25.98583,28.33111,1917-10-03 to 2003-09-14
A2H010,Maloney's-Eye @ Steenekoppie,,-26.02236,27.56336,1908-08-20 TO 2013-10-21
A2H011,Apies River @ Bon Accord,308,-25.62558,28.19111,1919-12-20 to 1921-12-01
A2H012,Krokodil River @ Kalkheuwel,2551,-25.81056,27.90983,1922-10-01 to 2019-01-31
A2H013,Magalies River @ Scheerpoort,1171,-25.77703,27.76117,1922-10-01 to 2019-07-17
A2H014,Hennops River @ Skurweberg,1007,-25.79828,27.98539,1922-11-13 to 2019-09-25
A2H015,Krokodil River @ Buffelshoek,23940,-24.67313,27.3955,1927-10-01 to 1931-09-30
A2H016,Sterkstroom River @ Buffelspoort,140,-25.75055,27.48608,1927-11-16 to 1934-02-01
A2H017,Hex River @ Boschpoort,1071,-25.54336,27.35638,1927-12-08 to 1937-01-31
A2H018,Krokodil River @ Donkerpoort,1070,-24.63452,27.31638,1933-11-06 to 1937-03-31
A2H020,Elands River @ Bulhoek,4558,-25.31088,27.45719,1951-02-01 to 1970-11-23
A2H021,Pienaars River @ Buffelspoort,7483,-25.12856,27.62858,1955-09-01 to 2019-07-18
A2H022,Krokodil River @ Welgegund,2616,-25.79777,27.89552,1955-10-18 to 1967-02-23
A2H023,Jukskei River @ Nietgedacht,686,-25.95444,27.96256,1965-10-23 to 2019-09-23
A2H024,Brandvlei River @ Brandvlei,13,-26.151,27.59478,1965-12-19 to 2019-07-15
A2H025,Krokodil River @ Hardekoolbult,21349,-24.93391,27.548,1959-07-17 to 1992-08-25
A2H026,Apies River @ Hamanskraal,676,-25.40638,28.278,1960-11-03 to 1983-03-16
A2H027,Pienaars River @ Baviaanspoort,357,-25.66361,28.35131,1962-05-22 to 2018-05-21
A2H028,Hartbees Spruit @ Kameeldrift,161,-25.65136,28.31911,1962-05-27 to 1995-05-25
A2H029,Edendale Spruit @ Leeuwfontein,129,-25.64711,28.39039,1962-05-21 to 2019-06-19
A2H030,Roodeplaat Spruit @ Louwsbaken se Loop Roodeplaat,116,-25.60286,28.37517,1962-05-24 to 2018-06-05
A2H031,Sand River @ Buffelspoort,1124,-25.13561,27.62719,1963-01-01 to 1970-09-30
A2H032,Selons River @ Moedwil,522,-25.6375,27.02703,1963-09-05 to 2019-06-26
A2H033,Nouklip-Eye @ Hartbeeshoek,,-25.87483,27.78144,1964-06-24 TO 2019-06-26
A2H034,Skeerpoort River @ Scheerpoort,150,-25.82492,27.77181,1964-02-03 to 2019-09-27
A2H035,Skeerpoort River @ Hartbeeshoek,98,-25.86805,27.783,1964-06-23 to 1982-09-26
A2H036,Koster River @ Steenbokfontein,191,-25.72583,26.88442,1965-11-09 to 2018-05-29
A2H037,Krokodil River @ Buffelshoek,23762,-24.66422,27.3755,1967-05-23 to 1992-08-25
A2H038,Waterkloof-Lower @ Rietvallei,,-25.73486,27.21425,1970-12-23 to 2019-06-24
A2H039,Waterkloof-Upper @ Rietvallei,,-25.72025,27.18556,1971-05-18 to 2019-06-24
A2H040,Jukskei River @ Waterval,199,-26.03194,28.11188,1971-07-02 to 1993-03-15
A2H041,Apies River @ Daspoort,142,-25.72886,28.16891,1909-01-09 to 1947-03-30
A2H042,Jukskei River @ Lone Hill,409,-26.00583,28.03302,1971-07-01 to 1995-11-20
A2H044,Jukskei River @ Vlakfontein,798,-25.8955,27.93481,1971-07-18 to 2019-06-18
A2H047,Little Jukskei River @ Klipfontein,65,-26.06831,27.97253,1971-07-21 to 2018-06-05
A2H048,Krokodil River @ Krokodilpoort,4691,-25.57342,27.75411,1972-02-25 to 2018-05-06
A2H049,Bloubank Spruit @ Riet Spruit Zwartkop,371,-25.97681,27.83639,1972-07-04 to 2019-09-23
