Latitude,Longitude
-25.8604,27.6119
-25.8586,27.6126
-25.8572,27.611
-25.9366,27.4715
-25.7654,27.6317
-25.8756,27.4876
-25.86905,27.48795
-25.9137,27.5729
-25.90806,27.59
-25.8948,27.5998
-25.8851,27.6157
-25.8853,27.616
-25.895,27.5999
-25.8774,27.6128
-25.8948,27.5998
-25.9019,27.5896
-25.8694,27.6307
-25.8694,27.6307
-25.8328,27.6266
-25.816111,27.37358
-25.9299,27.5373
-25.9327,27.4714
-25.9059,27.6099
-25.9059,27.6099
-25.9059,27.6099
-25.9059,27.6099
-25.9059,27.6099
-25.9441,27.5762
-25.9362,27.5149
-25.9027,27.6017
-25.9001,27.6005
-25.9187,27.5913
-25.9187,27.5913
-25.91194,27.53389
-26.01271,27.53088
-26.040088,27.5373
-25.5121,27.3336
-26.0455,27.7214
-26.044,27.6244
-25.9059,27.6097
-25.9059,27.6097
-25.9059,27.6097
-25.9059,27.6099
-25.84042,27.625997
-25.95694,27.50972
-25.9617,27.5019
-25.843333,27.626389
-25.9059,27.6097
-25.9059,27.6099
-25.91528,27.60222
-25.5613,27.3005
-25.8765,27.6582
-25.8742,27.6356
-25.8742,27.6356
-25.8866,27.6393
-25.8866,27.6393
-25.877,27.6286
-25.877,27.6286
-25.877,27.6286
-25.9106,27.4745
-25.9797,27.3889
-25.9542,27.4061
-25.5718,27.6612
-25.5639,27.6623
-25.82889,27.97306
-25.61417,26.23667
-25.66,26.65
-25.67472,26.20583
-25.66139,26.15889
-25.66139,26.15889
-25.7,26.18
-25.69,26.17
-25.67,26.24
-25.7696,26.3572
-26.1089,27.6757
-26.0903,27.6286
-26.1127,27.6658
-26.095,27.657
-26.0622,27.635
-26.0622,27.635
-26.0875,27.6464
-26.0875,27.6464
-26.0817,27.6191
-26.0903,27.6286
-26.0903,27.6286
-26.0817,27.6191
-26.0817,27.6191
-26.0817,27.6191
-26.0817,27.6191
-26.0903,27.6286
-25.0923,27.6614
-26.1189,27.6527
-26.1158,27.6534
-26.0314,27.5389
-26.0534,27.5259
-25.938,27.4065
-25.9332,27.4258
-25.9542,27.4634
-26.0738,27.6175
-26.0534,27.6529
-26.1224,27.5746
-26.1224,27.5746
-25.6852,26.2191
-25.6893,26.2142
-26.0738,27.6175
-26.0738,27.6175
-26.0986,27.654
-25.905,27.8791
-25.706,26.157
-26.095,27.657
-26.0738,27.6175
-26.095,27.657
-26.0738,27.6175
-26.0738,27.6175
-25.706,26.157
-26.0693,27.6378
-26.0461,27.7485
-26.0461,27.7485
-26.0474,27.6433
-26.0467,27.6412
-26.9459,27.6726
-26.0351,27.5307
-26.1003,27.6479
-26.1003,27.6479
-25.9411,27.582
-26.1071,27.6527
-26.1071,27.6527
-26.1071,27.6527
-26.1071,27.6527
-26.1003,27.6479
-26.0887,27.6634
-26.095,27.657
-25.7662,27.818
-25.9479,27.6775
-25.7951,27.728
-25.7723,27.7091
-25.7794,27.7127
-25.7067,26.0588
-25.8521,27.6034
-26.0738,27.56085
-26.1026,27.6511
-26.085,27.6105
-26.0467,27.6392
-26.0861,27.612
-26.1009,27.6524
-26.1005,27.6522
-26.1001,27.652
-26.0998,27.6517
-26.0709,27.6563
-26.1017,27.6531
-25.8787,27.6199
-26.1528,27.6727
-26.1404,27.6695
-26.1486,27.6422
-26.14235,27.655347
-26.1025,27.6509
-25.6315,26.0094
-25.6311,26.0126
-25.6303,26.0108
-25.6307,26.0124
-25.632,26.01
-25.9411,28.3905
-25.8995,27.5772
-25.8764,27.6281
-25.9383,28.3897
-25.9383,28.3897
-26.0449,27.7217
-26.0449,27.7217
-26.0923,27.6005
-26.1492,27.5276
-26.1475,27.5192
-25.7434,26.5482
-25.8697,27.6296
-25.823889,27.713056
-25.81056,27.70528
-25.83806,27.70722
-25.82389,27.71306
-25.823889,27.713056
-25.949111,27.864389
-26.1415,27.6761
-25.9953,27.8176
-26.1111,27.6759
-25.7188,27.9901
-25.9399,27.8361
-25.8448,28.0447
-25.8515,28.0456
-25.8515,28.0456
-25.7924,27.7286
-25.7201,27.9887
-25.68167,26.20222
-25.68167,26.20222
-26.0615,27.6097
-26.0615,27.6097
-26.0615,27.6097
-26.0515,27.6097
-26.0615,27.6097
-26.0615,27.6097
-26.0615,27.6097
-26.0615,27.6097
-26.0615,27.6097
-26.1232,27.6252
-26.0618,27.6092
-26.0562,28.2818
-26.0562,28.2818
-26.9473,27.565
-26.1364,27.6393
-25.7701,27.9771
-25.871,27.611
-26.1328,27.6421
-25.82389,27.71306
-26.123,27.6312
-25.8326,27.6951
-26.095,27.657
-25.82389,27.71306
-25.82389,27.71306
-26.142,27.6343
-26.0875,27.6464
-25.6838,26.2268
-25.8963,27.5751
-26.0892,27.695
-25.848,27.9789
-25.844,27.9769
-25.9042,27.6152
-25.9042,27.6152
-25.7951,27.728
-25.8157,27.8709
-25.8157,27.8709
-25.8157,27.8709
-25.7656,27.7104
-25.7656,27.7104
-25.8413,27.71
-25.851,27.7139
-25.9182,27.6262
-25.9085,27.4916
-25.9182,27.6252
-25.9182,27.6262
-25.9442,27.7118
-25.8274,27.9849
-25.9335,27.7276
-25.9455,27.7143
-25.9595,27.5828
-25.9243,27.7273
-25.9133,27.5592
-25.9133,27.5592
-25.8952,27.6256
-25.9894,28.3314
-25.9849,28.3311
-25.8524,27.6388
-25.7841,27.8023
-25.8506,27.6388
-25.9043,28.0654
-25.8362,28.0907
-25.7239,27.9869
-25.7155,27.9607
-25.9609,28.3005
-25.7896,26.3647
-25.6299,26.0151
-25.8027,26.5871
-25.7866,26.5956
-25.8882,26.6315
-25.8882,26.6315
-25.8882,26.6315
-25.8882,26.6315
-25.8882,26.6315
-26.0576,27.6526
-25.71,28.0296
-25.8132,26.5976
-26.067,27.4465
-26.0692,27.5996
-26.1255,27.5352
-26.0559,28.3512
-26.07377,27.6003
-26.0774,27.6034
-26.1197,27.5464
-26.0474,27.7991
-25.9903,27.8803
-26.0098,27.7078
-25.64639,25.98083
-25.6397,25.9786
-26.092,27.6923
-26.0535,27.647
-25.5687,26.0426
-25.7158,26.3177
-25.6327,25.9975
-25.8919,27.8795
-25.6369,26.0633
-25.6365,26.0652
-25.8526,27.9249
-25.9406,27.3793
-25.9406,27.3793
-25.54583,26.10056
-25.8664,27.6254
-25.6363,26.0644
-25.6353,26.0661
-25.5747,26.0185
-25.6353,26.067
-25.6353,26.0687
-25.5906,26.2367
-25.6395,26.057
-25.6933,26.1724
-25.7637,26.1462
-25.7526,26.1474
-25.7173,27.9911
-25.885,27.6052
-25.8877,27.6069
-26.0615,27.6097
-25.7834,27.8061
-25.8788,28.3287
-25.76,27.9812
-26.1559,27.5696
-26.177,27.5673
-26.182,27.5604
-25.709,28.0245
-25.7181,28.0871
-25.6514,26.0214
-25.6517,26.023
-25.6497,26.0258
-25.6479,26.0244
-25.6408,26.041
-25.9716,28.3705
-25.6353,26.131
-25.7267,26.2163
-25.5903,26.0023
-25.7244,26.26
-25.7214,26.2563
-25.7214,26.2563
-25.5667,26.0214
-25.5646,26.0207
-25.5646,26.0207
-25.7082,26.2863
-25.6722,26.0472
-25.7032,26.0167
-25.7584,27.7813
-25.8319,27.665125
-25.9661,27.9009
-25.93889,28.25556
-25.7329,28.022
-25.9166,27.6174
-26.1,27.6157
-26.0477,27.7971
-25.7237,28.0167
-26.0692,27.6061
-25.925,28.3351
-26.0181,27.7072
-25.9898,28.3404
-26.0575,27.6546
-25.8148,27.6831
-25.8148,27.6831
-25.78389,28.28389
-26.1446,27.6801
-25.76694,27.98444
-25.9652,28.3723
-25.9875,27.9173
-26.0582,27.651
-25.9629,28.3638
-25.93722,28.26639
-25.87222,26.61806
-25.89444,28.03889
-25.8857,28.3839
-25.9935,28.374
-25.7773,27.7575
-26.0588,27.5842
-25.9013,28.0555
-25.7899,28.2205
-26.0433,27.8536
-25.6431,26.0751
-25.9484,28.4436
-25.8938,27.571
-25.8943,27.5707
-25.883,27.6073
-25.8801,27.6086
-25.892,27.6118
-25.892,27.6118
-25.892,27.6118
-26.013,27.689
-26.013,27.689
-25.8901,27.6081
-25.6215,26.0886
-25.5969,26.094
-25.8902,27.6041
-26.0887,27.46335
-25.8228,27.7389
-25.8228,27.7389
-25.966,28.3892
-26.0374,27.5862
-25.9045,28.0597
-25.9072,28.0584
-26.0837,27.7845
-25.9046,28.0618
-25.8949,27.6411
-25.9426,28.4279
-25.9476,27.5736
-25.7077,28.0297
-25.7099,28.0382
-25.7531,28.2299
-25.7561,28.2276
-25.9767,28.1299
-25.9448,28.3127
-25.7696,28.2058
-25.5472,28.1152
-25.8303,27.6289
-25.8225,27.7457
-25.9714,27.5842
-26.0208,27.6834
-26.0158,27.883
-25.733,27.9329
-26.0309,28.1778
-26.0887,27.6634
-26.1563,27.652
-26.0818,27.6701
-26.07972,28.33167
-25.8257,27.6959
-25.9152,28.055
-25.90417,26.64972
