ClimNo,StasName,Latitude,Longitude,Height,Province
0474680 9,CARLETONVILLE,-26.4155,27.4048,1606,GAUTENG
0475528B7,ZUURBEKOM AWS,-26.3008,27.8136,1581,GAUTENG
0438784 3,VEREENIGING,-26.5699,27.9582,1481,GAUTENG
0473559A3,VENTERSDORP,-26.3123,26.8138,1494,NORTH-WEST
0437104A4,POTCHEFSTROOM,-26.7359,27.0755,1351,NORTH-WEST
0513385A2,IRENE WO,-25.9105,28.2106,1524,GAUTENG
0476399 0,JOHANNESBURG INT WO,-26.143,28.2346,1695,GAUTENG
0513346 0,PRETORIA UNISA,-25.7663,28.2005,1439,GAUTENG
0513435A4,PRETORIA UNIVERSITY PROEFPLAAS,-25.752,28.2585,1380,GAUTENG
0476764 2,SPRINGS,-26.2395,28.4351,1644,GAUTENG
0477309A6,DELMAS WITKLIP,-26.1542,28.6828,1571,MPUMALANGA
0472278 0,LICHTENBURG,-26.133,26.1644,1497,NORTH_WEST
0508047 0,MAFIKENG WO,-25.8037,25.5428,1281,NORTH_WEST
0475879 0,JHB BOT TUINE,-26.1566,27.9991,1624,GAUTENG
30423,LICHTENBURG - SHIELA KOOP,-26.07318,25.92728,1503,
30596,KOSTER-GROOTPAN(AWS),-25.99017,26.50456,1534,
30670,KOSTER: KLIPPAN,-26.06359,26.93734,1557,
30649,POTCHEFSTROOM: OLIESADE,-26.73607,27.07553,1349,
31006,NASCHEM,-26.56142,27.13528,1421,
21867,LEEUWPAN,-26.24344,27.29861,1559,
30619,TARLTON; DEODAR,-26.14269,27.57432,1581,
30977,WINFORD AGRICULTURAL HOLDINGS,-26.33856,28.00437,1528,
30782,MIDVAAL: ZUIKERBOSCH,-26.69124,28.00344,1445,
30459,PETIT - MONSANTO,-26.07512,28.39705,1635,
30164,PRETORIA - ARCADIA,-25.73857,28.20733,1400,
31008,DELMAS - KROMDRAAI,-26.25001,28.9359,1577,
