Date,Discharge (Cumecs)
1/7/1971,1.1
1/8/1971,1.166
1/9/1971,1.002
1/10/1971,0.621
1/11/1971,0.466
1/12/1971,0.617
1/1/1972,0.63
1/2/1972,
1/3/1972,0.218
1/4/1972,0.642
1/5/1972,0.293
1/6/1972,0.199
1/7/1972,0.274
1/8/1972,0.228
1/9/1972,0.185
1/10/1972,0.152
1/11/1972,0.114
1/12/1972,0.314
1/1/1973,
1/2/1973,0.071
1/3/1973,0.173
1/4/1973,0.178
1/5/1973,0.327
1/6/1973,0.188
1/7/1973,0.196
1/8/1973,0.177
1/9/1973,0.18
1/10/1973,0.115
1/11/1973,0.167
1/12/1973,0.124
1/1/1974,0.175
1/2/1974,0.366
1/3/1974,0.39
1/4/1974,0.23
1/5/1974,0.452
1/6/1974,0.327
1/7/1974,0.263
1/8/1974,0.253
1/9/1974,0.193
1/10/1974,0.258
1/11/1974,0.108
1/12/1974,
1/1/1975,0.426
1/2/1975,0.187
1/3/1975,0.278
1/4/1975,0.283
1/5/1975,0.209
1/6/1975,0.195
1/7/1975,0.175
1/8/1975,0.14
1/9/1975,0.129
1/10/1975,0.095
1/11/1975,0.079
1/12/1975,0.137
1/1/1976,0.276
1/2/1976,0.373
1/3/1976,0.302
1/4/1976,0.402
1/5/1976,0.284
1/6/1976,0.232
1/7/1976,0.138
1/8/1976,0.108
1/9/1976,0.113
1/10/1976,0.087
1/11/1976,0.183
1/12/1976,0.24
1/1/1977,1.058
1/2/1977,0.267
1/3/1977,0.384
1/4/1977,0.217
1/5/1977,0.218
1/6/1977,0.204
1/7/1977,0.324
1/8/1977,0.277
1/9/1977,0.121
1/10/1977,0.162
1/11/1977,0.205
1/12/1977,0.301
1/1/1978,0.817
1/2/1978,1.474
1/3/1978,0.831
1/4/1978,0.656
1/5/1978,1.377
1/6/1978,1.36
1/7/1978,1.397
1/8/1978,1.487
1/9/1978,1.529
1/10/1978,1.582
1/11/1978,1.432
1/12/1978,1.257
1/1/1979,1.253
1/2/1979,1.139
1/3/1979,1.068
1/4/1979,0.873
1/5/1979,0.835
1/6/1979,0.872
1/7/1979,0.885
1/8/1979,1.006
1/9/1979,0.959
1/10/1979,0.813
1/11/1979,0.937
1/12/1979,1.103
1/1/1980,1.092
1/2/1980,
1/3/1980,1.337
1/4/1980,0.863
1/5/1980,0.947
1/6/1980,0.689
1/7/1980,0.69
1/8/1980,0.584
1/9/1980,0.503
1/10/1980,0.621
1/11/1980,0.5
1/12/1980,0.903
1/1/1981,1.349
1/2/1981,0.957
1/3/1981,1.136
1/4/1981,1.205
1/5/1981,0.811
1/6/1981,0.849
1/7/1981,0.928
1/8/1981,0.957
1/9/1981,0.804
1/10/1981,0.6
1/11/1981,0.577
1/12/1981,0.493
1/1/1982,0.799
1/2/1982,0.948
1/3/1982,1.012
1/4/1982,0.806
1/5/1982,0.8
1/6/1982,0.744
1/7/1982,0.738
1/8/1982,0.662
1/9/1982,0.524
1/10/1982,0.501
1/11/1982,0.574
1/12/1982,0.53
1/1/1983,0.68
1/2/1983,0.721
1/3/1983,0.379
1/4/1983,0.498
1/5/1983,0.544
1/6/1983,0.699
1/7/1983,0.701
1/8/1983,0.625
1/9/1983,0.567
1/10/1983,
1/11/1983,0.686
1/12/1983,0.768
1/1/1984,0.869
1/2/1984,1.043
1/3/1984,0.247
1/4/1984,0.278
1/5/1984,0.3
1/6/1984,0.324
1/7/1984,0.226
1/8/1984,0.216
1/9/1984,0.162
1/10/1984,0.185
1/11/1984,0.212
1/12/1984,0.269
1/1/1985,0.203
1/2/1985,0.263
1/3/1985,0.187
1/4/1985,0.197
1/5/1985,0.185
1/6/1985,0.237
1/7/1985,0.237
1/8/1985,0.241
1/9/1985,0.207
1/10/1985,0.166
1/11/1985,0.174
1/12/1985,0.249
1/1/1986,0.408
1/2/1986,0.367
1/3/1986,0.259
1/4/1986,0.263
1/5/1986,0.292
1/6/1986,0.194
1/7/1986,0.301
1/8/1986,
1/9/1986,0.249
1/10/1986,0.193
1/11/1986,0.407
1/12/1986,0.536
1/1/1987,0.505
1/2/1987,0.71
1/3/1987,0.423
1/4/1987,0.617
1/5/1987,0.408
1/6/1987,0.323
1/7/1987,0.408
1/8/1987,0.476
1/9/1987,0.503
1/10/1987,0.737
1/11/1987,0.847
1/12/1987,0.374
1/1/1988,0.759
1/2/1988,0.385
1/3/1988,0.318
1/4/1988,0.666
1/5/1988,0.537
1/6/1988,0.47
1/7/1988,0.41
1/8/1988,0.491
1/9/1988,0.323
1/10/1988,0.461
1/11/1988,0.439
1/12/1988,0.413
1/1/1989,0.384
1/2/1989,0.478
1/3/1989,0.712
1/4/1989,0.38
1/5/1989,0.354
1/6/1989,0.65
1/7/1989,0.71
1/8/1989,0.429
1/9/1989,0.347
1/10/1989,0.279
1/11/1989,0.273
1/12/1989,0.632
1/1/1990,0.533
1/2/1990,0.421
1/3/1990,0.589
1/4/1990,0.733
1/5/1990,0.888
1/6/1990,0.602
1/7/1990,0.508
1/8/1990,0.386
1/9/1990,0.299
1/10/1990,0.258
1/11/1990,0.17
1/12/1990,0.158
1/1/1991,0.211
1/2/1991,0.478
1/3/1991,0.566
1/4/1991,0.477
1/5/1991,0.227
1/6/1991,0.313
1/7/1991,0.306
1/8/1991,0.37
1/9/1991,0.299
1/10/1991,0.246
1/11/1991,0.201
1/12/1991,0.169
1/1/1992,0.296
1/2/1992,0.285
1/3/1992,0.145
1/4/1992,0.106
1/5/1992,0.14
1/6/1992,0.175
1/7/1992,0.144
1/8/1992,0.149
1/9/1992,0.171
1/10/1992,0.181
1/11/1992,0.127
1/12/1992,0.342
1/1/1993,0.31
1/2/1993,0.294
1/3/1993,0.337
1/4/1993,0.356
1/5/1993,0.213
1/6/1993,0.243
1/7/1993,0.348
1/8/1993,0.539
1/9/1993,0.484
1/10/1993,0.242
1/11/1993,1.042
1/12/1993,0.552
1/1/1994,0.497
1/2/1994,0.661
1/3/1994,0.966
1/4/1994,0.757
1/5/1994,0.876
1/6/1994,0.89
1/7/1994,0.814
1/8/1994,0.78
1/9/1994,
1/10/1994,1.018
1/11/1994,1.049
1/12/1994,1.093
1/1/1995,0.667
1/2/1995,0.722
1/3/1995,0.445
1/4/1995,0.648
1/5/1995,0.834
1/6/1995,0.828
1/7/1995,0.766
1/8/1995,
1/9/1995,0.397
1/10/1995,
1/11/1995,0.839
1/12/1995,0.662
1/1/1996,0.519
1/2/1996,0.422
1/3/1996,0.627
1/4/1996,0.535
1/5/1996,0.521
1/6/1996,0.392
1/7/1996,0.424
1/8/1996,0.415
1/9/1996,0.397
1/10/1996,0.359
1/11/1996,0.42
1/12/1996,0.994
1/1/1997,1.276
1/2/1997,1.158
1/3/1997,0.581
1/4/1997,0.855
1/5/1997,0.799
1/6/1997,0.761
1/7/1997,0.753
1/8/1997,0.586
1/9/1997,0.656
1/10/1997,0.722
1/11/1997,0.772
1/12/1997,0.737
1/1/1998,0.819
1/2/1998,0.797
1/3/1998,0.697
1/4/1998,0.568
1/5/1998,0.528
1/6/1998,0.51
1/7/1998,0.534
1/8/1998,0.513
1/9/1998,
1/10/1998,0.463
1/11/1998,0.658
1/12/1998,1.249
1/1/1999,
1/2/1999,
1/3/1999,0.652
1/4/1999,
1/5/1999,0.606
1/6/1999,0.683
1/7/1999,0.66
1/8/1999,0.626
1/9/1999,0.658
1/10/1999,0.635
1/11/1999,0.677
1/12/1999,1.061
1/1/2000,1.073
1/2/2000,0.87
1/3/2000,1.012
1/4/2000,0.801
1/5/2000,0.662
1/6/2000,0.669
1/7/2000,0.676
1/8/2000,0.637
1/9/2000,0.574
1/10/2000,
1/11/2000,
1/12/2000,1.252
1/1/2001,
1/2/2001,0.586
1/3/2001,0.594
1/4/2001,0.606
1/5/2001,0.645
1/6/2001,0.71
1/7/2001,0.665
1/8/2001,0.65
1/9/2001,0.623
1/10/2001,0.666
1/11/2001,0.65
1/12/2001,0.778
1/1/2002,0.83
1/2/2002,0.587
1/3/2002,0.788
1/4/2002,0.701
1/5/2002,0.515
1/6/2002,0.567
1/7/2002,0.744
1/8/2002,0.648
1/9/2002,0.63
1/10/2002,0.676
1/11/2002,0.664
1/12/2002,0.584
1/1/2003,0.519
1/2/2003,0.463
1/3/2003,0.334
1/4/2003,0.349
1/5/2003,
1/6/2003,0.242
1/7/2003,0.294
1/8/2003,0.299
1/9/2003,0.303
1/10/2003,0.244
1/11/2003,0.24
1/12/2003,0.217
1/1/2004,0.143
1/2/2004,0.198
1/3/2004,0.311
1/4/2004,0.422
1/5/2004,0.383
1/6/2004,0.295
1/7/2004,0.211
1/8/2004,0.245
1/9/2004,0.151
1/10/2004,0.186
1/11/2004,0.179
1/12/2004,0.113
1/1/2005,0.248
1/2/2005,0.38
1/3/2005,0.327
1/4/2005,0.215
1/5/2005,0.255
1/6/2005,0.218
1/7/2005,0.171
1/8/2005,0.149
1/9/2005,0.162
1/10/2005,0.125
1/11/2005,0.058
1/12/2005,0.05
1/1/2006,0.086
1/2/2006,0.357
1/3/2006,0.298
1/4/2006,0.361
1/5/2006,0.261
1/6/2006,0.175
1/7/2006,0.173
1/8/2006,0.15
1/9/2006,0.13
1/10/2006,0.128
1/11/2006,0.155
1/12/2006,0.325
1/1/2007,0.258
1/2/2007,0.25
1/3/2007,0.141
1/4/2007,0.064
1/5/2007,0.11
1/6/2007,0.092
1/7/2007,0.113
1/8/2007,0.131
1/9/2007,0.136
1/10/2007,0.137
1/11/2007,0.282
1/12/2007,0.199
1/1/2008,0.27
1/2/2008,0.305
1/3/2008,0.304
1/4/2008,0.356
1/5/2008,0.337
1/6/2008,0.257
1/7/2008,0.219
1/8/2008,0.22
1/9/2008,0.222
1/10/2008,0.147
1/11/2008,0.093
1/12/2008,0.154
1/1/2009,0.105
1/2/2009,0.332
1/3/2009,0.28
1/4/2009,0.23
1/5/2009,0.179
1/6/2009,0.195
1/7/2009,0.211
1/8/2009,0.199
1/9/2009,0.226
1/10/2009,0.164
1/11/2009,0.193
1/12/2009,0.229
1/1/2010,0.249
1/2/2010,0.36
1/3/2010,0.313
1/4/2010,0.314
1/5/2010,0.328
1/6/2010,0.283
1/7/2010,0.213
1/8/2010,0.239
1/9/2010,0.262
1/10/2010,0.285
1/11/2010,0.213
1/12/2010,0.258
1/1/2011,0.438
1/2/2011,0.532
1/3/2011,0.523
1/4/2011,0.51
1/5/2011,0.472
1/6/2011,
1/7/2011,
1/8/2011,
1/9/2011,
1/10/2011,0.275
1/11/2011,0.251
1/12/2011,0.247
1/1/2012,0.289
1/2/2012,0.344
1/3/2012,0.435
1/4/2012,0.339
1/5/2012,0.422
1/6/2012,0.42
1/7/2012,0.392
1/8/2012,0.394
1/9/2012,0.376
1/10/2012,0.454
1/11/2012,0.503
1/12/2012,0.487
1/1/2013,0.573
1/2/2013,
1/3/2013,
1/4/2013,
1/5/2013,0.437
1/6/2013,
1/7/2013,0.162
1/8/2013,
1/9/2013,0.388
1/10/2013,0.36
1/11/2013,0.396
1/12/2013,0.44
1/1/2014,0.601
1/2/2014,0.478
1/3/2014,0.724
1/4/2014,0.766
1/5/2014,0.556
1/6/2014,0.477
1/7/2014,0.48
1/8/2014,0.472
1/9/2014,0.492
1/10/2014,0.433
1/11/2014,0.364
1/12/2014,0.411
1/1/2015,0.509
1/2/2015,0.497
1/3/2015,0.443
1/4/2015,0.463
1/5/2015,0.575
1/6/2015,0.555
1/7/2015,0.548
1/8/2015,0.488
1/9/2015,0.388
1/10/2015,0.448
1/11/2015,0.316
1/12/2015,0.275
1/1/2016,0.324
1/2/2016,
1/3/2016,
1/4/2016,
1/5/2016,0.63
1/6/2016,0.479
1/7/2016,
1/8/2016,
1/9/2016,
1/10/2016,
1/11/2016,
1/12/2016,
1/1/2017,
1/2/2017,0.556
1/3/2017,0.59
1/4/2017,0.547
1/5/2017,0.454
1/6/2017,0.376
1/7/2017,0.391
1/8/2017,0.366
1/9/2017,0.383
1/10/2017,0.347
1/11/2017,0.412
1/12/2017,0.288
1/1/2018,0.347
1/2/2018,0.272
1/3/2018,0.427
1/4/2018,0.409
1/5/2018,
1/6/2018,
1/7/2018,0.221
1/8/2018,0.206
1/9/2018,0.235
1/10/2018,0.34
1/11/2018,0.412
1/12/2018,
1/1/2019,
1/2/2019,
1/3/2019,
1/4/2019,
1/5/2019,
1/6/2019,
1/7/2019,
1/8/2019,
1/9/2019,
1/10/2019,
