"Time","C2H136"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/06/2011,""
00:00:00 01/07/2011,""
00:00:00 01/08/2011,""
00:00:00 01/09/2011,""
00:00:00 01/10/2011,""
00:00:00 01/11/2011,""
00:00:00 01/12/2011,       3.924
00:00:00 01/01/2012,       6.544
00:00:00 01/02/2012,       9.258
00:00:00 01/03/2012,       6.301
00:00:00 01/04/2012,       4.610
00:00:00 01/05/2012,       3.856
00:00:00 01/06/2012,       3.193
00:00:00 01/07/2012,       3.254
00:00:00 01/08/2012,       3.082
00:00:00 01/09/2012,       2.912
00:00:00 01/10/2012,       6.164
00:00:00 01/11/2012,       4.477
00:00:00 01/12/2012,       5.198
00:00:00 01/01/2013,       7.512
00:00:00 01/02/2013,       7.171
00:00:00 01/03/2013,       7.079
00:00:00 01/04/2013,       4.164
00:00:00 01/05/2013,       7.297
00:00:00 01/06/2013,       4.633
00:00:00 01/07/2013,       3.781
00:00:00 01/08/2013,       3.650
00:00:00 01/09/2013,       3.494
00:00:00 01/10/2013,       3.031
00:00:00 01/11/2013,       4.258
00:00:00 01/12/2013,       5.070
00:00:00 01/01/2014,      10.470
00:00:00 01/02/2014,       4.200
00:00:00 01/03/2014,       7.892
00:00:00 01/04/2014,       9.311
00:00:00 01/05/2014,       4.043
00:00:00 01/06/2014,       3.298
00:00:00 01/07/2014,       3.673
00:00:00 01/08/2014,       4.193
00:00:00 01/09/2014,       3.704
00:00:00 01/10/2014,       3.357
00:00:00 01/11/2014,       3.493
00:00:00 01/12/2014,       5.799
00:00:00 01/01/2015,       8.718
00:00:00 01/02/2015,       6.841
00:00:00 01/03/2015,       5.215
00:00:00 01/04/2015,       5.213
00:00:00 01/05/2015,       5.161
00:00:00 01/06/2015,       4.168
00:00:00 01/07/2015,       4.009
00:00:00 01/08/2015,       4.345
00:00:00 01/09/2015,       3.803
00:00:00 01/10/2015,       4.234
00:00:00 01/11/2015,       2.162
00:00:00 01/12/2015,       3.056
00:00:00 01/01/2016,       3.950
00:00:00 01/02/2016,       7.489
00:00:00 01/03/2016,       6.871
00:00:00 01/04/2016,       8.584
00:00:00 01/05/2016,       4.427
00:00:00 01/06/2016,       5.994
00:00:00 01/07/2016,       4.520
00:00:00 01/08/2016,       4.710
00:00:00 01/09/2016,       4.485
00:00:00 01/10/2016,""
00:00:00 01/11/2016,       4.487
00:00:00 01/12/2016,       8.854
00:00:00 01/01/2017,       9.758
00:00:00 01/02/2017,       8.267
00:00:00 01/03/2017,      10.548
00:00:00 01/04/2017,       7.984
00:00:00 01/05/2017,       5.511
00:00:00 01/06/2017,""
00:00:00 01/07/2017,""
00:00:00 01/08/2017,""
00:00:00 01/09/2017,       4.200
00:00:00 01/10/2017,""
00:00:00 01/11/2017,""
00:00:00 01/12/2017,""
00:00:00 01/01/2018,""
00:00:00 01/02/2018,""
00:00:00 01/03/2018,       6.222
00:00:00 01/04/2018,       7.432
00:00:00 01/05/2018,       7.005
00:00:00 01/06/2018,       5.765
00:00:00 01/07/2018,       4.993
00:00:00 01/08/2018,       4.723
00:00:00 01/09/2018,       4.235
00:00:00 01/10/2018,       3.490
00:00:00 01/11/2018,       4.302
00:00:00 01/12/2018,       3.430
00:00:00 01/01/2019,       4.100
00:00:00 01/02/2019,       8.576
00:00:00 01/03/2019,      10.680
00:00:00 01/04/2019,       5.684
00:00:00 01/05/2019,       9.302
00:00:00 01/06/2019,       4.879
00:00:00 01/07/2019,       4.477
00:00:00 01/08/2019,""
