Time,Discharge in cumecs
1/7/1996,0.336
1/8/1996,0.36
1/9/1996,0.411
1/10/1996,0.364
1/11/1996,0.244
1/12/1996,
1/1/1997,
1/2/1997,0.203
1/3/1997,0.167
1/4/1997,0.327
1/5/1997,0.279
1/6/1997,0.394
1/7/1997,
1/8/1997,
1/9/1997,
1/10/1997,0.319
1/11/1997,0.194
1/12/1997,
1/1/1998,0.177
1/2/1998,0.38
1/3/1998,
1/4/1998,
1/5/1998,
1/6/1998,0.167
1/7/1998,0.174
1/8/1998,
1/9/1998,0.187
1/10/1998,0.191
1/11/1998,0.213
1/12/1998,0.213
1/1/1999,0.47
1/2/1999,0.278
1/3/1999,0.24
1/4/1999,0.207
1/5/1999,0.211
1/6/1999,0.212
1/7/1999,
1/8/1999,0.182
1/9/1999,0.182
1/10/1999,0.312
1/11/1999,0.466
1/12/1999,
1/1/2000,
1/2/2000,
1/3/2000,0.455
1/4/2000,0.392
1/5/2000,0.384
1/6/2000,0.305
1/7/2000,
1/8/2000,
1/9/2000,
1/10/2000,
1/11/2000,
1/12/2000,
1/1/2001,
1/2/2001,0.212
1/3/2001,0.242
1/4/2001,
1/5/2001,
1/6/2001,
1/7/2001,
1/8/2001,
1/9/2001,
1/10/2001,0.246
1/11/2001,0.243
1/12/2001,0.385
1/1/2002,0.5
1/2/2002,
1/3/2002,0.423
1/4/2002,0.273
1/5/2002,
1/6/2002,0.217
1/7/2002,0.293
1/8/2002,
1/9/2002,
1/10/2002,
1/11/2002,
1/12/2002,
1/1/2003,
1/2/2003,0.226
1/3/2003,
1/4/2003,
1/5/2003,
1/6/2003,
1/7/2003,
1/8/2003,0.118
1/9/2003,0.105
1/10/2003,0.089
1/11/2003,0.068
1/12/2003,0.073
1/1/2004,0.05
1/2/2004,0.082
1/3/2004,0.213
1/4/2004,0.373
1/5/2004,0.162
1/6/2004,0.116
1/7/2004,0.12
1/8/2004,0.1
1/9/2004,0.108
1/10/2004,0.082
1/11/2004,0.074
1/12/2004,0.039
1/1/2005,0.067
1/2/2005,0.282
1/3/2005,0.264
1/4/2005,0.188
1/5/2005,0.25
1/6/2005,0.155
1/7/2005,0.136
1/8/2005,0.117
1/9/2005,0.088
1/10/2005,0.067
1/11/2005,0.062
1/12/2005,0.061
1/1/2006,0.086
1/2/2006,0.164
1/3/2006,0.298
1/4/2006,0.827
1/5/2006,0.642
1/6/2006,0.175
1/7/2006,0.159
1/8/2006,0.148
1/9/2006,0.164
1/10/2006,0.154
1/11/2006,0.145
1/12/2006,0.11
1/1/2007,0.23
1/2/2007,0.151
1/3/2007,0.117
1/4/2007,0.099
1/5/2007,0.111
1/6/2007,0.117
1/7/2007,0.128
1/8/2007,0.104
1/9/2007,0.126
1/10/2007,0.117
1/11/2007,0.151
1/12/2007,0.13
1/1/2008,0.409
1/2/2008,0.126
1/3/2008,0.093
1/4/2008,0.152
1/5/2008,0.108
1/6/2008,0.112
1/7/2008,0.093
1/8/2008,0.066
1/9/2008,0.063
1/10/2008,0.051
1/11/2008,0.036
1/12/2008,0.105
1/1/2009,0.059
1/2/2009,0.436
1/3/2009,0.745
1/4/2009,0.167
1/5/2009,0.072
1/6/2009,0.091
1/7/2009,0.109
1/8/2009,0.089
1/9/2009,0.112
1/10/2009,0.062
1/11/2009,0.079
1/12/2009,0.09
1/1/2010,0.065
1/2/2010,0.746
1/3/2010,0.136
1/4/2010,0.1
1/5/2010,0.125
1/6/2010,0.276
1/7/2010,0.125
1/8/2010,0.11
1/9/2010,0.067
1/10/2010,0.081
1/11/2010,0.051
1/12/2010,0.07
1/1/2011,0.33
1/2/2011,1.443
1/3/2011,
1/4/2011,0.235
1/5/2011,0.595
1/6/2011,0.616
1/7/2011,
1/8/2011,
1/9/2011,0.229
1/10/2011,0.182
1/11/2011,0.152
1/12/2011,0.143
1/1/2012,0.131
1/2/2012,
1/3/2012,0.126
1/4/2012,0.113
1/5/2012,0.08
1/6/2012,0.091
1/7/2012,0.09
1/8/2012,0.128
1/9/2012,0.106
1/10/2012,0.122
1/11/2012,
1/12/2012,0.206
1/1/2013,0.324
1/2/2013,0.192
1/3/2013,0.178
1/4/2013,0.128
1/5/2013,0.156
1/6/2013,0.108
1/7/2013,0.088
1/8/2013,0.147
1/9/2013,
1/10/2013,0.032
1/11/2013,
1/12/2013,
1/1/2014,
1/2/2014,
1/3/2014,
1/4/2014,
1/5/2014,
1/6/2014,
1/7/2014,
1/8/2014,
1/9/2014,0.096
1/10/2014,0.073
1/11/2014,0.034
1/12/2014,0.025
1/1/2015,0.021
1/2/2015,0.021
1/3/2015,0.016
1/4/2015,0.024
1/5/2015,0.018
1/6/2015,0.01
1/7/2015,0.017
1/8/2015,0.019
1/9/2015,
1/10/2015,0.042
1/11/2015,0.035
1/12/2015,0.015
1/1/2016,0.014
1/2/2016,0.064
1/3/2016,0.019
1/4/2016,0.028
1/5/2016,0.032
1/6/2016,0.039
1/7/2016,0.031
1/8/2016,0.039
1/9/2016,0.042
1/10/2016,0.03
1/11/2016,0.021
1/12/2016,0.047
1/1/2017,0.023
1/2/2017,0.087
1/3/2017,0.324
1/4/2017,0.044
1/5/2017,0.049
1/6/2017,0.028
1/7/2017,0.033
1/8/2017,0.034
1/9/2017,0.034
1/10/2017,0.035
1/11/2017,0.04
1/12/2017,0.018
1/1/2018,0.022
1/2/2018,0.015
1/3/2018,0.033
1/4/2018,0.1
1/5/2018,
1/6/2018,
1/7/2018,
1/8/2018,
1/9/2018,
1/10/2018,
1/11/2018,
1/12/2018,
1/1/2019,
1/2/2019,
1/3/2019,
1/4/2019,
1/5/2019,
1/6/2019,
1/7/2019,
1/8/2019,
1/9/2019,
1/10/2019,
