Date ,D4H030
1/4/1986,0
1/5/1986,0.206
1/6/1986,0.247
1/7/1986,0.151
1/8/1986,0.089
1/9/1986,0.153
1/10/1986,0.158
1/11/1986,0.103
1/12/1986,0.156
1/1/1987,
1/2/1987,0.063
1/3/1987,0.054
1/4/1987,0.119
1/5/1987,0.093
1/6/1987,0.095
1/7/1987,0.081
1/8/1987,0.091
1/9/1987,0.103
1/10/1987,0.122
1/11/1987,0.075
1/12/1987,0.063
1/1/1988,0.063
1/2/1988,0.078
1/3/1988,0.055
1/4/1988,0.12
1/5/1988,0.114
1/6/1988,0.096
1/7/1988,0.085
1/8/1988,0.136
1/9/1988,0.114
1/10/1988,0.127
1/11/1988,0.141
1/12/1988,0.049
1/1/1989,0.084
1/2/1989,0.103
1/3/1989,0.117
1/4/1989,0.207
1/5/1989,0.162
1/6/1989,
1/7/1989,0.195
1/8/1989,
1/9/1989,0.125
1/10/1989,
1/11/1989,0.083
1/12/1989,0.098
1/1/1990,0.044
1/2/1990,0.062
1/3/1990,0.076
1/4/1990,0.125
1/5/1990,0.097
1/6/1990,0.114
1/7/1990,0.164
1/8/1990,0.149
1/9/1990,0.096
1/10/1990,
1/11/1990,
1/12/1990,
1/1/1991,
1/2/1991,
1/3/1991,
1/4/1991,
1/5/1991,0.132
1/6/1991,0.09
1/7/1991,0.125
1/8/1991,0.106
1/9/1991,0.092
1/10/1991,0.126
1/11/1991,0.083
1/12/1991,0.059
1/1/1992,0.065
1/2/1992,0.042
1/3/1992,0.046
1/4/1992,0.041
1/5/1992,0.03
1/6/1992,0.026
1/7/1992,0.021
1/8/1992,0.038
1/9/1992,0.01
1/10/1992,0.018
1/11/1992,0.016
1/12/1992,0.022
1/1/1993,0.011
1/2/1993,0.026
1/3/1993,0.008
1/4/1993,0.004
1/5/1993,0.001
1/6/1993,0.011
1/7/1993,
1/8/1993,0.007
1/9/1993,0.024
1/10/1993,0.004
1/11/1993,0.028
1/12/1993,
1/1/1994,0.021
1/2/1994,0.033
1/3/1994,0.117
1/4/1994,0.184
1/5/1994,
1/6/1994,0.165
1/7/1994,
1/8/1994,0.158
1/9/1994,0.125
1/10/1994,0.107
1/11/1994,0.075
1/12/1994,
1/1/1995,0.049
1/2/1995,0.039
1/3/1995,
1/4/1995,
1/5/1995,
1/6/1995,
1/7/1995,
1/8/1995,
1/9/1995,
1/10/1995,
1/11/1995,
1/12/1995,
1/1/1996,
1/2/1996,
1/3/1996,
1/4/1996,
1/5/1996,
1/6/1996,0.096
1/7/1996,
1/8/1996,0.052
1/9/1996,0.037
1/10/1996,0.025
1/11/1996,0.031
1/12/1996,0.035
1/1/1997,0.034
1/2/1997,0.057
1/3/1997,0.026
1/4/1997,0.248
1/5/1997,0.433
1/6/1997,0.389
1/7/1997,0.378
1/8/1997,0.374
1/9/1997,0.365
1/10/1997,0.36
1/11/1997,0.322
1/12/1997,0.341
1/1/1998,0.32
1/2/1998,
1/3/1998,
1/4/1998,0.236
1/5/1998,0.219
1/6/1998,0.172
1/7/1998,
1/8/1998,0.128
1/9/1998,0.132
