Date,A2H010
9/1/1908,
10/1/1908,0.361
11/1/1908,0.357
12/1/1908,0.353
1/1/1909,0.351
2/1/1909,0.362
3/1/1909,0.383
4/1/1909,0.417
5/1/1909,0.44
6/1/1909,0.448
7/1/1909,0.459
8/1/1909,0.459
9/1/1909,0.45
10/1/1909,0.448
11/1/1909,0.448
12/1/1909,0.443
1/1/1910,0.445
2/1/1910,0.438
3/1/1910,0.438
4/1/1910,0.438
5/1/1910,0.438
6/1/1910,0.438
7/1/1910,0.438
8/1/1910,0.439
9/1/1910,0.448
10/1/1910,0.438
11/1/1910,0.439
12/1/1910,0.433
1/1/1911,0.434
2/1/1911,0.43
3/1/1911,0.438
4/1/1911,0.438
5/1/1911,0.438
6/1/1911,0.438
7/1/1911,0.438
8/1/1911,0.438
9/1/1911,0.438
10/1/1911,0.438
11/1/1911,0.428
12/1/1911,0.427
1/1/1912,0.427
2/1/1912,0.427
3/1/1912,0.427
4/1/1912,0.431
5/1/1912,0.437
6/1/1912,0.433
7/1/1912,0.427
8/1/1912,0.427
9/1/1912,0.427
10/1/1912,0.423
11/1/1912,0.406
12/1/1912,0.406
1/1/1913,0.406
2/1/1913,0.406
3/1/1913,0.407
4/1/1913,0.416
5/1/1913,0.416
6/1/1913,0.406
7/1/1913,0.402
8/1/1913,0.395
9/1/1913,0.395
10/1/1913,0.395
11/1/1913,0.395
12/1/1913,0.395
1/1/1914,0.395
2/1/1914,0.39
3/1/1914,0.382
4/1/1914,0.385
5/1/1914,0.385
6/1/1914,0.385
7/1/1914,0.38
8/1/1914,0.375
9/1/1914,0.375
10/1/1914,0.375
11/1/1914,0.37
12/1/1914,0.37
1/1/1915,0.382
2/1/1915,0.391
3/1/1915,0.426
4/1/1915,0.463
5/1/1915,0.492
6/1/1915,0.503
7/1/1915,0.504
8/1/1915,0.504
9/1/1915,0.504
10/1/1915,0.504
11/1/1915,0.504
12/1/1915,0.504
1/1/1916,0.504
2/1/1916,0.504
3/1/1916,0.499
4/1/1916,0.492
5/1/1916,0.492
6/1/1916,0.492
7/1/1916,0.492
8/1/1916,0.492
9/1/1916,0.492
10/1/1916,0.483
11/1/1916,0.481
12/1/1916,0.481
1/1/1917,0.481
2/1/1917,0.481
3/1/1917,0.481
4/1/1917,0.481
5/1/1917,0.481
6/1/1917,0.481
7/1/1917,0.475
8/1/1917,0.47
9/1/1917,0.478
10/1/1917,0.48
11/1/1917,0.471
12/1/1917,0.47
1/1/1918,0.472
2/1/1918,0.492
3/1/1918,0.51
4/1/1918,0.531
5/1/1918,0.556
6/1/1918,0.585
7/1/1918,0.606
8/1/1918,0.621
9/1/1918,0.626
10/1/1918,0.637
11/1/1918,0.637
12/1/1918,0.637
1/1/1919,0.644
2/1/1919,0.651
3/1/1919,0.661
4/1/1919,0.666
5/1/1919,0.674
6/1/1919,0.681
7/1/1919,0.686
8/1/1919,0.693
9/1/1919,0.699
10/1/1919,0.699
11/1/1919,0.698
12/1/1919,0.687
1/1/1920,0.686
2/1/1920,0.686
3/1/1920,0.686
4/1/1920,0.678
5/1/1920,0.67
6/1/1920,0.666
7/1/1920,0.668
8/1/1920,0.661
9/1/1920,0.661
10/1/1920,0.661
11/1/1920,0.663
12/1/1920,0.654
1/1/1921,0.637
2/1/1921,0.632
3/1/1921,0.625
4/1/1921,0.621
5/1/1921,0.613
6/1/1921,0.613
7/1/1921,0.613
8/1/1921,0.613
9/1/1921,0.605
10/1/1921,0.597
11/1/1921,0.597
12/1/1921,0.591
1/1/1922,0.587
2/1/1922,0.585
3/1/1922,0.576
4/1/1922,0.564
5/1/1922,0.561
6/1/1922,0.561
7/1/1922,0.561
8/1/1922,0.561
9/1/1922,0.561
10/1/1922,0.552
11/1/1922,0.549
12/1/1922,0.541
1/1/1923,0.538
2/1/1923,0.538
3/1/1923,0.538
4/1/1923,0.538
5/1/1923,0.538
6/1/1923,0.538
7/1/1923,0.529
8/1/1923,0.519
9/1/1923,0.515
10/1/1923,0.508
11/1/1923,0.504
12/1/1923,0.504
1/1/1924,0.497
2/1/1924,0.492
3/1/1924,0.492
4/1/1924,0.492
5/1/1924,0.492
6/1/1924,0.492
7/1/1924,0.492
8/1/1924,0.492
9/1/1924,0.492
10/1/1924,0.492
11/1/1924,0.492
12/1/1924,0.483
1/1/1925,0.473
2/1/1925,0.459
3/1/1925,0.459
4/1/1925,0.474
5/1/1925,0.476
6/1/1925,0.492
7/1/1925,0.492
8/1/1925,0.492
9/1/1925,0.499
10/1/1925,0.504
11/1/1925,0.504
12/1/1925,0.504
1/1/1926,0.504
2/1/1926,0.504
3/1/1926,0.504
4/1/1926,0.501
5/1/1926,0.492
6/1/1926,0.492
7/1/1926,0.492
8/1/1926,0.492
9/1/1926,0.492
10/1/1926,0.492
11/1/1926,0.492
12/1/1926,0.492
1/1/1927,0.484
2/1/1927,0.474
3/1/1927,0.47
4/1/1927,0.47
5/1/1927,0.47
6/1/1927,0.463
7/1/1927,0.459
8/1/1927,0.459
9/1/1927,0.459
10/1/1927,0.459
11/1/1927,0.459
12/1/1927,0.449
1/1/1928,0.448
2/1/1928,0.448
3/1/1928,0.448
