"Time","C2H013"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/11/1911,""
00:00:00 01/12/1911,""
00:00:00 01/01/1912,""
00:00:00 01/02/1912,""
00:00:00 01/03/1912,""
00:00:00 01/04/1912,       0.107
00:00:00 01/05/1912,       0.109
00:00:00 01/06/1912,       0.101
00:00:00 01/07/1912,       0.101
00:00:00 01/08/1912,       0.101
00:00:00 01/09/1912,       0.101
00:00:00 01/10/1912,       0.103
00:00:00 01/11/1912,       0.105
00:00:00 01/12/1912,       0.103
00:00:00 01/01/1913,       0.104
00:00:00 01/02/1913,       0.107
00:00:00 01/03/1913,       0.094
00:00:00 01/04/1913,       0.093
00:00:00 01/05/1913,       0.092
00:00:00 01/06/1913,       0.088
00:00:00 01/07/1913,       0.088
00:00:00 01/08/1913,       0.093
00:00:00 01/09/1913,       0.093
00:00:00 01/10/1913,       0.088
00:00:00 01/11/1913,       0.084
00:00:00 01/12/1913,       0.087
00:00:00 01/01/1914,       0.079
00:00:00 01/02/1914,       0.071
00:00:00 01/03/1914,       0.070
00:00:00 01/04/1914,       0.072
00:00:00 01/05/1914,       0.069
00:00:00 01/06/1914,       0.069
00:00:00 01/07/1914,       0.065
00:00:00 01/08/1914,       0.062
00:00:00 01/09/1914,       0.062
00:00:00 01/10/1914,       0.060
00:00:00 01/11/1914,       0.060
00:00:00 01/12/1914,       0.062
00:00:00 01/01/1915,       0.061
00:00:00 01/02/1915,       0.085
00:00:00 01/03/1915,       0.130
00:00:00 01/04/1915,       0.126
00:00:00 01/05/1915,       0.117
00:00:00 01/06/1915,       0.114
00:00:00 01/07/1915,       0.114
00:00:00 01/08/1915,       0.114
00:00:00 01/09/1915,       0.112
00:00:00 01/10/1915,       0.107
00:00:00 01/11/1915,       0.106
00:00:00 01/12/1915,       0.110
00:00:00 01/01/1916,       0.117
00:00:00 01/02/1916,       0.121
00:00:00 01/03/1916,       0.116
00:00:00 01/04/1916,       0.116
00:00:00 01/05/1916,       0.121
00:00:00 01/06/1916,       0.114
00:00:00 01/07/1916,       0.117
00:00:00 01/08/1916,       0.116
00:00:00 01/09/1916,       0.114
00:00:00 01/10/1916,       0.112
00:00:00 01/11/1916,       0.110
00:00:00 01/12/1916,       0.109
00:00:00 01/01/1917,       0.110
00:00:00 01/02/1917,       0.112
00:00:00 01/03/1917,       0.114
00:00:00 01/04/1917,       0.114
00:00:00 01/05/1917,       0.113
00:00:00 01/06/1917,       0.113
00:00:00 01/07/1917,       0.114
00:00:00 01/08/1917,       0.114
00:00:00 01/09/1917,       0.113
00:00:00 01/10/1917,       0.114
00:00:00 01/11/1917,       0.123
00:00:00 01/12/1917,       0.130
00:00:00 01/01/1918,       0.118
00:00:00 01/02/1918,       0.119
00:00:00 01/03/1918,       0.133
00:00:00 01/04/1918,       0.260
00:00:00 01/05/1918,       0.208
00:00:00 01/06/1918,       0.192
00:00:00 01/07/1918,       0.194
00:00:00 01/08/1918,       0.197
00:00:00 01/09/1918,       0.200
00:00:00 01/10/1918,       0.207
00:00:00 01/11/1918,       0.208
00:00:00 01/12/1918,       0.221
00:00:00 01/01/1919,       0.233
00:00:00 01/02/1919,       0.257
00:00:00 01/03/1919,       0.269
00:00:00 01/04/1919,       0.256
00:00:00 01/05/1919,       0.251
00:00:00 01/06/1919,       0.258
00:00:00 01/07/1919,       0.263
00:00:00 01/08/1919,       0.263
00:00:00 01/09/1919,       0.264
00:00:00 01/10/1919,       0.270
00:00:00 01/11/1919,       0.274
00:00:00 01/12/1919,       0.278
00:00:00 01/01/1920,       0.285
00:00:00 01/02/1920,       0.290
00:00:00 01/03/1920,       0.281
00:00:00 01/04/1920,       0.279
00:00:00 01/05/1920,       0.274
00:00:00 01/06/1920,       0.281
00:00:00 01/07/1920,       0.289
00:00:00 01/08/1920,       0.304
00:00:00 01/09/1920,       0.304
00:00:00 01/10/1920,       0.306
00:00:00 01/11/1920,       0.306
00:00:00 01/12/1920,       0.303
00:00:00 01/01/1921,       0.302
00:00:00 01/02/1921,       0.303
00:00:00 01/03/1921,       0.280
00:00:00 01/04/1921,       0.284
00:00:00 01/05/1921,       0.279
00:00:00 01/06/1921,       0.271
00:00:00 01/07/1921,       0.267
00:00:00 01/08/1921,       0.265
00:00:00 01/09/1921,       0.268
00:00:00 01/10/1921,       0.270
00:00:00 01/11/1921,       0.265
00:00:00 01/12/1921,       0.249
00:00:00 01/01/1922,       0.250
00:00:00 01/02/1922,       0.246
00:00:00 01/03/1922,       0.244
00:00:00 01/04/1922,       0.248
00:00:00 01/05/1922,       0.245
00:00:00 01/06/1922,       0.238
00:00:00 01/07/1922,       0.241
00:00:00 01/08/1922,       0.238
00:00:00 01/09/1922,       0.238
00:00:00 01/10/1922,       0.240
00:00:00 01/11/1922,       0.239
00:00:00 01/12/1922,       0.227
00:00:00 01/01/1923,       0.230
00:00:00 01/02/1923,       0.233
00:00:00 01/03/1923,       0.233
00:00:00 01/04/1923,       0.232
00:00:00 01/05/1923,       0.228
00:00:00 01/06/1923,       0.225
00:00:00 01/07/1923,       0.228
00:00:00 01/08/1923,       0.228
00:00:00 01/09/1923,       0.225
00:00:00 01/10/1923,       0.225
00:00:00 01/11/1923,       0.216
00:00:00 01/12/1923,       0.220
00:00:00 01/01/1924,       0.206
00:00:00 01/02/1924,       0.195
00:00:00 01/03/1924,       0.197
00:00:00 01/04/1924,       0.198
00:00:00 01/05/1924,       0.190
00:00:00 01/06/1924,       0.182
00:00:00 01/07/1924,       0.203
00:00:00 01/08/1924,       0.180
00:00:00 01/09/1924,       0.178
00:00:00 01/10/1924,       0.174
00:00:00 01/11/1924,       0.168
00:00:00 01/12/1924,       0.165
00:00:00 01/01/1925,       0.159
00:00:00 01/02/1925,       0.161
00:00:00 01/03/1925,       0.156
00:00:00 01/04/1925,       0.154
00:00:00 01/05/1925,       0.158
00:00:00 01/06/1925,       0.157
00:00:00 01/07/1925,       0.159
00:00:00 01/08/1925,       0.159
00:00:00 01/09/1925,       0.159
00:00:00 01/10/1925,       0.159
00:00:00 01/11/1925,       0.158
00:00:00 01/12/1925,       0.160
00:00:00 01/01/1926,       0.156
00:00:00 01/02/1926,       0.155
00:00:00 01/03/1926,       0.150
00:00:00 01/04/1926,       0.152
00:00:00 01/05/1926,       0.150
00:00:00 01/06/1926,       0.155
00:00:00 01/07/1926,       0.154
00:00:00 01/08/1926,       0.154
00:00:00 01/09/1926,       0.154
00:00:00 01/10/1926,       0.154
00:00:00 01/11/1926,       0.149
00:00:00 01/12/1926,       0.148
00:00:00 01/01/1927,       0.144
00:00:00 01/02/1927,       0.140
00:00:00 01/03/1927,       0.139
00:00:00 01/04/1927,       0.139
00:00:00 01/05/1927,       0.137
00:00:00 01/06/1927,       0.141
00:00:00 01/07/1927,       0.140
00:00:00 01/08/1927,       0.140
00:00:00 01/09/1927,       0.139
00:00:00 01/10/1927,       0.134
00:00:00 01/11/1927,       0.130
00:00:00 01/12/1927,       0.126
00:00:00 01/01/1928,       0.125
00:00:00 01/02/1928,       0.126
00:00:00 01/03/1928,       0.135
00:00:00 01/04/1928,       0.127
00:00:00 01/05/1928,       0.126
00:00:00 01/06/1928,       0.125
00:00:00 01/07/1928,       0.127
00:00:00 01/08/1928,       0.128
00:00:00 01/09/1928,       0.131
00:00:00 01/10/1928,       0.124
00:00:00 01/11/1928,       0.124
00:00:00 01/12/1928,       0.125
00:00:00 01/01/1929,       0.126
00:00:00 01/02/1929,       0.125
00:00:00 01/03/1929,       0.126
00:00:00 01/04/1929,       0.130
00:00:00 01/05/1929,       0.131
00:00:00 01/06/1929,       0.131
00:00:00 01/07/1929,       0.127
00:00:00 01/08/1929,       0.134
00:00:00 01/09/1929,       0.132
00:00:00 01/10/1929,       0.127
00:00:00 01/11/1929,       0.138
00:00:00 01/12/1929,       0.138
00:00:00 01/01/1930,       0.134
00:00:00 01/02/1930,       0.138
00:00:00 01/03/1930,       0.136
00:00:00 01/04/1930,       0.135
00:00:00 01/05/1930,       0.141
00:00:00 01/06/1930,       0.142
00:00:00 01/07/1930,       0.140
00:00:00 01/08/1930,       0.140
00:00:00 01/09/1930,       0.140
00:00:00 01/10/1930,       0.143
00:00:00 01/11/1930,       0.148
00:00:00 01/12/1930,       0.151
00:00:00 01/01/1931,       0.151
00:00:00 01/02/1931,       0.143
00:00:00 01/03/1931,       0.105
00:00:00 01/04/1931,       0.104
00:00:00 01/05/1931,       0.103
00:00:00 01/06/1931,       0.101
00:00:00 01/07/1931,       0.102
00:00:00 01/08/1931,       0.109
00:00:00 01/09/1931,       0.105
00:00:00 01/10/1931,       0.101
00:00:00 01/11/1931,       0.101
00:00:00 01/12/1931,       0.105
00:00:00 01/01/1932,       0.097
00:00:00 01/02/1932,       0.097
00:00:00 01/03/1932,       0.098
00:00:00 01/04/1932,       0.097
00:00:00 01/05/1932,       0.093
00:00:00 01/06/1932,       0.093
00:00:00 01/07/1932,       0.093
00:00:00 01/08/1932,       0.093
00:00:00 01/09/1932,       0.093
00:00:00 01/10/1932,       0.092
00:00:00 01/11/1932,       0.088
00:00:00 01/12/1932,       0.084
00:00:00 01/01/1933,       0.087
00:00:00 01/02/1933,       0.083
00:00:00 01/03/1933,       0.080
00:00:00 01/04/1933,       0.079
00:00:00 01/05/1933,       0.076
00:00:00 01/06/1933,       0.076
00:00:00 01/07/1933,       0.074
00:00:00 01/08/1933,       0.072
00:00:00 01/09/1933,       0.072
00:00:00 01/10/1933,       0.069
00:00:00 01/11/1933,       0.067
00:00:00 01/12/1933,       0.072
00:00:00 01/01/1934,       0.071
00:00:00 01/02/1934,       0.077
00:00:00 01/03/1934,       0.080
00:00:00 01/04/1934,       0.077
00:00:00 01/05/1934,       0.076
00:00:00 01/06/1934,       0.073
00:00:00 01/07/1934,       0.072
00:00:00 01/08/1934,       0.072
00:00:00 01/09/1934,       0.070
00:00:00 01/10/1934,       0.069
00:00:00 01/11/1934,       0.064
00:00:00 01/12/1934,       0.062
00:00:00 01/01/1935,       0.073
00:00:00 01/02/1935,       0.073
00:00:00 01/03/1935,       0.072
00:00:00 01/04/1935,       0.068
00:00:00 01/05/1935,       0.065
00:00:00 01/06/1935,       0.065
00:00:00 01/07/1935,       0.065
00:00:00 01/08/1935,       0.065
00:00:00 01/09/1935,       0.065
00:00:00 01/10/1935,       0.062
00:00:00 01/11/1935,       0.059
00:00:00 01/12/1935,       0.055
00:00:00 01/01/1936,       0.054
00:00:00 01/02/1936,       0.053
00:00:00 01/03/1936,       0.051
00:00:00 01/04/1936,       0.052
00:00:00 01/05/1936,       0.050
00:00:00 01/06/1936,       0.049
00:00:00 01/07/1936,       0.048
00:00:00 01/08/1936,       0.050
00:00:00 01/09/1936,       0.051
00:00:00 01/10/1936,       0.049
00:00:00 01/11/1936,       0.048
00:00:00 01/12/1936,       0.048
00:00:00 01/01/1937,       0.048
00:00:00 01/02/1937,       0.048
00:00:00 01/03/1937,       0.057
