,A2H008,
,,
,,
Date,Time,Discharge in cumecs 
1/11/1917,12:00:00,
1/12/1917,12:00:00,0.027
1/1/1918,12:00:00,0.027
1/2/1918,12:00:00,0.029
1/3/1918,12:00:00,0.031
1/4/1918,12:00:00,0.035
1/5/1918,12:00:00,0.038
1/6/1918,12:00:00,0.04
1/7/1918,12:00:00,0.042
1/8/1918,12:00:00,0.043
1/9/1918,12:00:00,0.043
1/10/1918,12:00:00,0.044
1/11/1918,12:00:00,0.045
1/12/1918,12:00:00,0.045
1/1/1919,12:00:00,0.045
1/2/1919,12:00:00,0.045
1/3/1919,12:00:00,0.045
1/4/1919,12:00:00,0.045
1/5/1919,12:00:00,0.045
1/6/1919,12:00:00,0.045
1/7/1919,12:00:00,0.045
1/8/1919,12:00:00,0.045
1/9/1919,12:00:00,0.045
1/10/1919,12:00:00,0.045
1/11/1919,12:00:00,0.043
1/12/1919,12:00:00,0.043
1/1/1920,12:00:00,0.043
1/2/1920,12:00:00,0.042
1/3/1920,12:00:00,0.041
1/4/1920,12:00:00,0.041
1/5/1920,12:00:00,0.04
1/6/1920,12:00:00,0.04
1/7/1920,12:00:00,0.04
1/8/1920,12:00:00,0.04
1/9/1920,12:00:00,0.04
1/10/1920,12:00:00,0.04
1/11/1920,12:00:00,0.04
1/12/1920,12:00:00,0.04
1/1/1921,12:00:00,0.038
1/2/1921,12:00:00,0.036
1/3/1921,12:00:00,0.036
1/4/1921,12:00:00,0.036
1/5/1921,12:00:00,0.036
1/6/1921,12:00:00,0.038
1/7/1921,12:00:00,0.038
1/8/1921,12:00:00,0.04
1/9/1921,12:00:00,0.04
1/10/1921,12:00:00,0.038
1/11/1921,12:00:00,0.038
1/12/1921,12:00:00,0.038
1/1/1922,12:00:00,0.038
1/2/1922,12:00:00,0.038
1/3/1922,12:00:00,0.036
1/4/1922,12:00:00,0.038
1/5/1922,12:00:00,0.038
1/6/1922,12:00:00,0.038
1/7/1922,12:00:00,0.038
1/8/1922,12:00:00,0.038
1/9/1922,12:00:00,0.038
1/10/1922,12:00:00,0.036
1/11/1922,12:00:00,0.036
1/12/1922,12:00:00,0.036
1/1/1923,12:00:00,0.036
1/2/1923,12:00:00,0.036
1/3/1923,12:00:00,0.034
1/4/1923,12:00:00,0.034
1/5/1923,12:00:00,0.034
1/6/1923,12:00:00,0.034
1/7/1923,12:00:00,0.034
1/8/1923,12:00:00,0.036
1/9/1923,12:00:00,0.036
1/10/1923,12:00:00,0.036
1/11/1923,12:00:00,0.036
1/12/1923,12:00:00,0.036
1/1/1924,12:00:00,0.036
1/2/1924,12:00:00,0.036
1/3/1924,12:00:00,0.036
1/4/1924,12:00:00,0.034
1/5/1924,12:00:00,0.031
1/6/1924,12:00:00,0.031
1/7/1924,12:00:00,0.031
1/8/1924,12:00:00,0.031
1/9/1924,12:00:00,0.031
1/10/1924,12:00:00,0.031
1/11/1924,12:00:00,0.031
1/12/1924,12:00:00,0.031
1/1/1925,12:00:00,0.031
1/2/1925,12:00:00,0.03
1/3/1925,12:00:00,0.03
1/4/1925,12:00:00,0.03
1/5/1925,12:00:00,0.03
1/6/1925,12:00:00,0.03
1/7/1925,12:00:00,0.03
