A2H012,,
,,
,,
Date,Time,Discharge in cumecs
1/11/1922,12:00:00,2.393
1/12/1922,12:00:00,4.174
1/1/1923,12:00:00,2.181
1/2/1923,12:00:00,5.175
1/3/1923,12:00:00,6.167
1/4/1923,12:00:00,5.658
1/5/1923,12:00:00,1.738
1/6/1923,12:00:00,1.238
1/7/1923,12:00:00,1.315
1/8/1923,12:00:00,1.455
1/9/1923,12:00:00,1.171
1/10/1923,12:00:00,0.934
1/11/1923,12:00:00,0.754
1/12/1923,12:00:00,2.979
1/1/1924,12:00:00,1.075
1/2/1924,12:00:00,1.006
1/3/1924,12:00:00,2.46
1/4/1924,12:00:00,3.515
1/5/1924,12:00:00,1.353
1/6/1924,12:00:00,1.068
1/7/1924,12:00:00,1.023
1/8/1924,12:00:00,1.068
1/9/1924,12:00:00,1.02
1/10/1924,12:00:00,0.923
1/11/1924,12:00:00,1.767
1/12/1924,12:00:00,2.28
1/1/1925,12:00:00,6.656
1/2/1925,12:00:00,5.657
1/3/1925,12:00:00,3.906
1/4/1925,12:00:00,7.421
1/5/1925,12:00:00,8.102
1/6/1925,12:00:00,10.172
1/7/1925,12:00:00,4.036
1/8/1925,12:00:00,2.918
1/9/1925,12:00:00,1.891
1/10/1925,12:00:00,3.32
1/11/1925,12:00:00,1.979
1/12/1925,12:00:00,4.044
1/1/1926,12:00:00,1.591
1/2/1926,12:00:00,2.342
1/3/1926,12:00:00,1.87
1/4/1926,12:00:00,1.569
1/5/1926,12:00:00,0.906
1/6/1926,12:00:00,1.162
1/7/1926,12:00:00,1.041
1/8/1926,12:00:00,1.225
1/9/1926,12:00:00,1.003
1/10/1926,12:00:00,0.953
1/11/1926,12:00:00,0.821
1/12/1926,12:00:00,1.124
1/1/1927,12:00:00,1.934
1/2/1927,12:00:00,1.303
1/3/1927,12:00:00,2.593
1/4/1927,12:00:00,1.523
1/5/1927,12:00:00,1.274
1/6/1927,12:00:00,0.752
1/7/1927,12:00:00,0.802
1/8/1927,12:00:00,0.965
1/9/1927,12:00:00,0.935
1/10/1927,12:00:00,0.726
1/11/1927,12:00:00,2.757
1/12/1927,12:00:00,1.072
1/1/1928,12:00:00,1.135
1/2/1928,12:00:00,6.847
1/3/1928,12:00:00,6.187
1/4/1928,12:00:00,2.062
1/5/1928,12:00:00,1.211
1/6/1928,12:00:00,0.754
1/7/1928,12:00:00,0.787
1/8/1928,12:00:00,0.91
1/9/1928,12:00:00,0.973
1/10/1928,12:00:00,0.736
1/11/1928,12:00:00,0.759
1/12/1928,12:00:00,4.441
1/1/1929,12:00:00,2.177
1/2/1929,12:00:00,4.621
1/3/1929,12:00:00,3.863
1/4/1929,12:00:00,6.685
1/5/1929,12:00:00,1.844
1/6/1929,12:00:00,1.218
1/7/1929,12:00:00,1.781
