A2H013,
,
Date,Discharge in cumecs
11/1/1922,1.328
12/1/1922,1.141
1/1/1923,1.405
2/1/1923,3.115
3/1/1923,3.115
4/1/1923,2.375
5/1/1923,0.85
6/1/1923,0.282
7/1/1923,0.183
8/1/1923,0.694
9/1/1923,0.684
10/1/1923,0.487
11/1/1923,0.26
12/1/1923,0.893
1/1/1924,0.575
2/1/1924,0.253
3/1/1924,0.568
4/1/1924,1.562
5/1/1924,0.876
6/1/1924,0.291
7/1/1924,0.33
8/1/1924,0.39
9/1/1924,0.271
10/1/1924,0.181
11/1/1924,0.177
12/1/1924,1.061
1/1/1925,0.993
2/1/1925,1.003
3/1/1925,1.212
4/1/1925,4.065
5/1/1925,3.848
6/1/1925,4.776
7/1/1925,1.739
8/1/1925,0.989
9/1/1925,0.799
10/1/1925,1.546
11/1/1925,0.558
12/1/1925,1.926
1/1/1926,1.345
2/1/1926,1.054
3/1/1926,0.564
4/1/1926,0.918
5/1/1926,0.271
6/1/1926,0.371
7/1/1926,0.23
8/1/1926,0.65
9/1/1926,0.252
10/1/1926,0.119
11/1/1926,0.11
12/1/1926,0.445
1/1/1927,1.27
2/1/1927,0.324
3/1/1927,1.212
4/1/1927,1.212
5/1/1927,0.674
6/1/1927,0.104
7/1/1927,0.089
8/1/1927,0.259
9/1/1927,0.304
10/1/1927,0.051
11/1/1927,1.746
12/1/1927,0.455
1/1/1928,0.085
2/1/1928,1.835
3/1/1928,2.893
4/1/1928,0.965
5/1/1928,0.456
6/1/1928,0.113
7/1/1928,0.107
8/1/1928,0.169
9/1/1928,0.313
10/1/1928,0.047
11/1/1928,0.074
12/1/1928,1.325
1/1/1929,0.536
2/1/1929,2.13
3/1/1929,1.813
4/1/1929,2.056
5/1/1929,0.827
6/1/1929,0.184
7/1/1929,0.683
8/1/1929,0.299
9/1/1929,0.142
10/1/1929,0.512
11/1/1929,2.668
12/1/1929,2.492
1/1/1930,2.551
2/1/1930,0.97
3/1/1930,1.109
4/1/1930,1.035
5/1/1930,0.975
6/1/1930,0.205
7/1/1930,0.306
8/1/1930,0.298
9/1/1930,0.394
10/1/1930,0.13
11/1/1930,0.023
12/1/1930,0.406
1/1/1931,1.247
2/1/1931,2.385
3/1/1931,1.943
4/1/1931,0.729
5/1/1931,0.533
6/1/1931,0.17
7/1/1931,0.117
8/1/1931,0.524
9/1/1931,0.124
10/1/1931,0.022
11/1/1931,0.037
12/1/1931,0.878
1/1/1932,0.278
2/1/1932,0.377
3/1/1932,0.625
4/1/1932,0.672
5/1/1932,0.145
6/1/1932,0.165
7/1/1932,0.051
8/1/1932,0.094
9/1/1932,0.077
10/1/1932,0.028
11/1/1932,0.083
12/1/1932,0.146
1/1/1933,0.625
2/1/1933,0.358
3/1/1933,0.016
4/1/1933,0.51
5/1/1933,0.021
6/1/1933,0.005
7/1/1933,0.01
8/1/1933,0.016
9/1/1933,0.011
10/1/1933,0.006
11/1/1933,0.014
12/1/1933,4.547
1/1/1934,2.767
2/1/1934,5.144
3/1/1934,3.932
4/1/1934,0.836
5/1/1934,0.331
6/1/1934,0.076
7/1/1934,0.433
8/1/1934,0.165
9/1/1934,0.172
10/1/1934,0.095
11/1/1934,0.22
12/1/1934,1.892
1/1/1935,2.605
2/1/1935,0.428
3/1/1935,0.569
4/1/1935,0.418
5/1/1935,0.186
6/1/1935,0.037
7/1/1935,0.061
8/1/1935,0.064
9/1/1935,0.062
10/1/1935,0.051
11/1/1935,0.049
12/1/1935,0.104
1/1/1936,0.853
2/1/1936,2.552
3/1/1936,1.203
4/1/1936,1.6
5/1/1936,1.239
6/1/1936,1.387
7/1/1936,0.827
8/1/1936,0.369
9/1/1936,0.188
10/1/1936,0.05
11/1/1936,0.1
12/1/1936,4.668
1/1/1937,1.17
2/1/1937,1.365
3/1/1937,4.076
4/1/1937,1.209
5/1/1937,1.428
6/1/1937,0.322
7/1/1937,0.221
8/1/1937,0.287
9/1/1937,0.184
10/1/1937,0.099
11/1/1937,0.478
12/1/1937,0.318
1/1/1938,2.208
