,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/12/1922,12:00:00,
1/1/1923,12:00:00,0.399
1/2/1923,12:00:00,0.972
1/3/1923,12:00:00,0.606
1/4/1923,12:00:00,1.161
1/5/1923,12:00:00,0.372
1/6/1923,12:00:00,0.389
1/7/1923,12:00:00,0.327
1/8/1923,12:00:00,0.343
1/9/1923,12:00:00,0.289
1/10/1923,12:00:00,0.19
1/11/1923,12:00:00,0.122
1/12/1923,12:00:00,
1/1/1924,12:00:00,
1/2/1924,12:00:00,
1/3/1924,12:00:00,0.361
1/4/1924,12:00:00,0.437
1/5/1924,12:00:00,0.228
1/6/1924,12:00:00,0.153
1/7/1924,12:00:00,0.178
1/8/1924,12:00:00,0.189
1/9/1924,12:00:00,0.16
1/10/1924,12:00:00,0.128
1/11/1924,12:00:00,0.141
1/12/1924,12:00:00,0.381
1/1/1925,12:00:00,0.902
1/2/1925,12:00:00,1.171
1/3/1925,12:00:00,0.436
1/4/1925,12:00:00,1.404
1/5/1925,12:00:00,1.213
1/6/1925,12:00:00,2.115
1/7/1925,12:00:00,0.836
1/8/1925,12:00:00,0.637
1/9/1925,12:00:00,0.402
1/10/1925,12:00:00,1.159
1/11/1925,12:00:00,0.411
1/12/1925,12:00:00,0.371
1/1/1926,12:00:00,0.245
1/2/1926,12:00:00,0.311
1/3/1926,12:00:00,0.345
1/4/1926,12:00:00,0.283
1/5/1926,12:00:00,0.143
1/6/1926,12:00:00,0.151
1/7/1926,12:00:00,0.155
1/8/1926,12:00:00,0.177
1/9/1926,12:00:00,0.145
1/10/1926,12:00:00,0.125
1/11/1926,12:00:00,0.106
1/12/1926,12:00:00,0.132
1/1/1927,12:00:00,0.724
1/2/1927,12:00:00,0.323
1/3/1927,12:00:00,0.371
1/4/1927,12:00:00,0.357
1/5/1927,12:00:00,0.113
1/6/1927,12:00:00,0.09
1/7/1927,12:00:00,0.104
1/8/1927,12:00:00,0.12
1/9/1927,12:00:00,0.105
1/10/1927,12:00:00,0.1
1/11/1927,12:00:00,0.473
1/12/1927,12:00:00,0.245
1/1/1928,12:00:00,0.083
1/2/1928,12:00:00,0.91
1/3/1928,12:00:00,1.355
1/4/1928,12:00:00,0.572
1/5/1928,12:00:00,0.168
1/6/1928,12:00:00,0.109
1/7/1928,12:00:00,0.141
1/8/1928,12:00:00,0.114
1/9/1928,12:00:00,0.145
1/10/1928,12:00:00,0.115
1/11/1928,12:00:00,0.091
1/12/1928,12:00:00,1.154
1/1/1929,12:00:00,0.418
1/2/1929,12:00:00,1.108
1/3/1929,12:00:00,0.529
1/4/1929,12:00:00,1.418
1/5/1929,12:00:00,0.366
1/6/1929,12:00:00,0.153
1/7/1929,12:00:00,0.245
1/8/1929,12:00:00,0.206
1/9/1929,12:00:00,0.156
1/10/1929,12:00:00,0.568
1/11/1929,12:00:00,1.73
1/12/1929,12:00:00,1.337
1/1/1930,12:00:00,1.567
1/2/1930,12:00:00,0.774
1/3/1930,12:00:00,1.712
1/4/1930,12:00:00,2.422
1/5/1930,12:00:00,1.35
1/6/1930,12:00:00,0.413
1/7/1930,12:00:00,0.398
1/8/1930,12:00:00,0.517
