"Time,""A2H023"""
and,140.00
"Date,""Discharge (Cumecs)"""
",""Mean"""
"00:00:00 01/11/1965,"""""
"00:00:00 01/12/1965,"""""
00:00:00 01/01/1966,       0.240
00:00:00 01/02/1966,       0.565
00:00:00 01/03/1966,       2.096
00:00:00 01/04/1966,       0.183
00:00:00 01/05/1966,       0.188
00:00:00 01/06/1966,       0.182
00:00:00 01/07/1966,       0.177
00:00:00 01/08/1966,       0.089
00:00:00 01/09/1966,       0.151
00:00:00 01/10/1966,       0.086
00:00:00 01/11/1966,       2.157
00:00:00 01/12/1966,       1.136
00:00:00 01/01/1967,       1.731
00:00:00 01/02/1967,       2.062
00:00:00 01/03/1967,       6.668
00:00:00 01/04/1967,       7.796
00:00:00 01/05/1967,       4.582
"00:00:00 01/06/1967,"""""
"00:00:00 01/07/1967,"""""
00:00:00 01/08/1967,       0.425
00:00:00 01/09/1967,       0.552
"00:00:00 01/10/1967,"""""
00:00:00 01/11/1967,       0.382
00:00:00 01/12/1967,       1.339
00:00:00 01/01/1968,       1.369
00:00:00 01/02/1968,       0.630
00:00:00 01/03/1968,       0.747
00:00:00 01/04/1968,       1.593
00:00:00 01/05/1968,       1.114
00:00:00 01/06/1968,       0.324
00:00:00 01/07/1968,       0.219
00:00:00 01/08/1968,       0.209
00:00:00 01/09/1968,       0.234
"00:00:00 01/10/1968,"""""
"00:00:00 01/11/1968,"""""
"00:00:00 01/12/1968,"""""
00:00:00 01/01/1969,       0.543
00:00:00 01/02/1969,       0.664
"00:00:00 01/03/1969,"""""
00:00:00 01/04/1969,       1.575
00:00:00 01/05/1969,       0.721
00:00:00 01/06/1969,       0.906
00:00:00 01/07/1969,       0.515
00:00:00 01/08/1969,       0.436
00:00:00 01/09/1969,       0.349
00:00:00 01/10/1969,       0.318
00:00:00 01/11/1969,       3.467
00:00:00 01/12/1969,       1.952
00:00:00 01/01/1970,       4.050
00:00:00 01/02/1970,       1.631
00:00:00 01/03/1970,       1.056
00:00:00 01/04/1970,       0.664
00:00:00 01/05/1970,       0.508
00:00:00 01/06/1970,       0.722
"00:00:00 01/07/1970,"""""
00:00:00 01/08/1970,       0.466
00:00:00 01/09/1970,       0.391
00:00:00 01/10/1970,       0.283
"00:00:00 01/11/1970,"""""
"00:00:00 01/12/1970,"""""
00:00:00 01/01/1971,       1.816
"00:00:00 01/02/1971,"""""
"00:00:00 01/03/1971,"""""
"00:00:00 01/04/1971,"""""
"00:00:00 01/05/1971,"""""
"00:00:00 01/06/1971,"""""
"00:00:00 01/07/1971,"""""
00:00:00 01/08/1971,       0.503
00:00:00 01/09/1971,       0.403
00:00:00 01/10/1971,       0.975
"00:00:00 01/11/1971,"""""
00:00:00 01/12/1971,       3.144
00:00:00 01/01/1972,       2.097
"00:00:00 01/02/1972,"""""
00:00:00 01/03/1972,       1.059
00:00:00 01/04/1972,       2.292
00:00:00 01/05/1972,       0.876
00:00:00 01/06/1972,       0.616
00:00:00 01/07/1972,       0.585
00:00:00 01/08/1972,       0.568
00:00:00 01/09/1972,       0.588
00:00:00 01/10/1972,       0.456
00:00:00 01/11/1972,       1.047
00:00:00 01/12/1972,       2.052
00:00:00 01/01/1973,       2.842
00:00:00 01/02/1973,       1.058
00:00:00 01/03/1973,       1.192
00:00:00 01/04/1973,       1.556
00:00:00 01/05/1973,       2.089
00:00:00 01/06/1973,       0.512
00:00:00 01/07/1973,       0.560
00:00:00 01/08/1973,       0.590
00:00:00 01/09/1973,       0.744
00:00:00 01/10/1973,       1.445
00:00:00 01/11/1973,       1.934
00:00:00 01/12/1973,       2.595
00:00:00 01/01/1974,       2.475
00:00:00 01/02/1974,       1.961
00:00:00 01/03/1974,       2.760
00:00:00 01/04/1974,       2.870
00:00:00 01/05/1974,       4.383
00:00:00 01/06/1974,       1.068
00:00:00 01/07/1974,       0.830
00:00:00 01/08/1974,       0.867
00:00:00 01/09/1974,       0.871
00:00:00 01/10/1974,       0.969
00:00:00 01/11/1974,       1.418
00:00:00 01/12/1974,       5.276
00:00:00 01/01/1975,       3.747
00:00:00 01/02/1975,      18.084
00:00:00 01/03/1975,      10.507
00:00:00 01/04/1975,       2.914
00:00:00 01/05/1975,       6.658
00:00:00 01/06/1975,       2.280
00:00:00 01/07/1975,       1.604
00:00:00 01/08/1975,       1.792
00:00:00 01/09/1975,       1.389
00:00:00 01/10/1975,       0.946
00:00:00 01/11/1975,       0.830
00:00:00 01/12/1975,       3.612
00:00:00 01/01/1976,       4.675
00:00:00 01/02/1976,       5.711
00:00:00 01/03/1976,       5.861
00:00:00 01/04/1976,       9.844
00:00:00 01/05/1976,       4.302
00:00:00 01/06/1976,      10.332
00:00:00 01/07/1976,       2.184
00:00:00 01/08/1976,       1.813
00:00:00 01/09/1976,       1.589
00:00:00 01/10/1976,       1.319
00:00:00 01/11/1976,       6.834
00:00:00 01/12/1976,       2.297
00:00:00 01/01/1977,       2.758
00:00:00 01/02/1977,       4.506
00:00:00 01/03/1977,       7.790
00:00:00 01/04/1977,       5.655
00:00:00 01/05/1977,       3.189
00:00:00 01/06/1977,       1.424
00:00:00 01/07/1977,       1.283
00:00:00 01/08/1977,       1.327
00:00:00 01/09/1977,       1.573
00:00:00 01/10/1977,       2.733
00:00:00 01/11/1977,       2.108
00:00:00 01/12/1977,       3.129
00:00:00 01/01/1978,       1.976
00:00:00 01/02/1978,      19.040
00:00:00 01/03/1978,      14.714
00:00:00 01/04/1978,       6.395
00:00:00 01/05/1978,       3.510
00:00:00 01/06/1978,       1.643
00:00:00 01/07/1978,       1.664
00:00:00 01/08/1978,       1.661
00:00:00 01/09/1978,       1.609
00:00:00 01/10/1978,       1.632
00:00:00 01/11/1978,       1.794
00:00:00 01/12/1978,       1.701
00:00:00 01/01/1979,       1.662
00:00:00 01/02/1979,       2.109
00:00:00 01/03/1979,       2.451
00:00:00 01/04/1979,       1.943
00:00:00 01/05/1979,       1.456
00:00:00 01/06/1979,       1.157
00:00:00 01/07/1979,       1.177
00:00:00 01/08/1979,       1.396
00:00:00 01/09/1979,       1.841
00:00:00 01/10/1979,       1.532
00:00:00 01/11/1979,       2.042
00:00:00 01/12/1979,       7.757
00:00:00 01/01/1980,       3.282
00:00:00 01/02/1980,       8.644
00:00:00 01/03/1980,       7.679
00:00:00 01/04/1980,       3.723
00:00:00 01/05/1980,       1.700
00:00:00 01/06/1980,       1.194
00:00:00 01/07/1980,       1.276
00:00:00 01/08/1980,       1.144
00:00:00 01/09/1980,       1.186
00:00:00 01/10/1980,       1.911
00:00:00 01/11/1980,       1.448
00:00:00 01/12/1980,       3.191
00:00:00 01/01/1981,       4.170
00:00:00 01/02/1981,       4.392
00:00:00 01/03/1981,       4.986
00:00:00 01/04/1981,       6.414
00:00:00 01/05/1981,       2.279
00:00:00 01/06/1981,       1.431
"00:00:00 01/07/1981,"""""
00:00:00 01/08/1981,       1.625
00:00:00 01/09/1981,       1.734
00:00:00 01/10/1981,       2.121
00:00:00 01/11/1981,       3.393
00:00:00 01/12/1981,       1.583
00:00:00 01/01/1982,       2.687
00:00:00 01/02/1982,       5.761
00:00:00 01/03/1982,       2.637
00:00:00 01/04/1982,       2.082
00:00:00 01/05/1982,       1.614
00:00:00 01/06/1982,       1.237
00:00:00 01/07/1982,       1.294
00:00:00 01/08/1982,       1.618
00:00:00 01/09/1982,       1.420
00:00:00 01/10/1982,       1.252
00:00:00 01/11/1982,       1.820
00:00:00 01/12/1982,       1.841
00:00:00 01/01/1983,       3.132
00:00:00 01/02/1983,       2.738
00:00:00 01/03/1983,       1.966
00:00:00 01/04/1983,       1.565
00:00:00 01/05/1983,       1.084
00:00:00 01/06/1983,       1.038
00:00:00 01/07/1983,       1.589
00:00:00 01/08/1983,       1.290
00:00:00 01/09/1983,       1.100
00:00:00 01/10/1983,       0.974
"00:00:00 01/11/1983,"""""
00:00:00 01/12/1983,       3.873
00:00:00 01/01/1984,       5.546
00:00:00 01/02/1984,       2.896
00:00:00 01/03/1984,       1.155
00:00:00 01/04/1984,       2.121
00:00:00 01/05/1984,       1.088
00:00:00 01/06/1984,       0.819
00:00:00 01/07/1984,       0.907
00:00:00 01/08/1984,       0.931
00:00:00 01/09/1984,       0.755
00:00:00 01/10/1984,       0.849
"00:00:00 01/11/1984,"""""
"00:00:00 01/12/1984,"""""
00:00:00 01/01/1985,       2.194
00:00:00 01/02/1985,       6.900
00:00:00 01/03/1985,       1.454
00:00:00 01/04/1985,       2.029
00:00:00 01/05/1985,       0.614
00:00:00 01/06/1985,       0.659
00:00:00 01/07/1985,       0.650
00:00:00 01/08/1985,       0.834
00:00:00 01/09/1985,       0.727
00:00:00 01/10/1985,       1.162
00:00:00 01/11/1985,       3.897
"00:00:00 01/12/1985,"""""
00:00:00 01/01/1986,       3.448
00:00:00 01/02/1986,       2.546
00:00:00 01/03/1986,       2.237
00:00:00 01/04/1986,       1.586
00:00:00 01/05/1986,       1.308
00:00:00 01/06/1986,       0.638
00:00:00 01/07/1986,       1.164
00:00:00 01/08/1986,       0.696
00:00:00 01/09/1986,       0.839
00:00:00 01/10/1986,       0.557
00:00:00 01/11/1986,       4.072
00:00:00 01/12/1986,       5.766
00:00:00 01/01/1987,       5.773
00:00:00 01/02/1987,       6.690
00:00:00 01/03/1987,       4.992
00:00:00 01/04/1987,       8.857
00:00:00 01/05/1987,       1.605
00:00:00 01/06/1987,       0.846
00:00:00 01/07/1987,       0.831
00:00:00 01/08/1987,       0.911
00:00:00 01/09/1987,       0.995
00:00:00 01/10/1987,       6.252
00:00:00 01/11/1987,       2.018
00:00:00 01/12/1987,       4.101
00:00:00 01/01/1988,       6.559
00:00:00 01/02/1988,       2.901
00:00:00 01/03/1988,       1.697
00:00:00 01/04/1988,       9.969
00:00:00 01/05/1988,       1.485
00:00:00 01/06/1988,       0.971
00:00:00 01/07/1988,       1.055
00:00:00 01/08/1988,       1.003
00:00:00 01/09/1988,       0.962
00:00:00 01/10/1988,       2.040
00:00:00 01/11/1988,       1.637
00:00:00 01/12/1988,       1.480
00:00:00 01/01/1989,       3.123
00:00:00 01/02/1989,       3.194
00:00:00 01/03/1989,      13.110
00:00:00 01/04/1989,       4.846
00:00:00 01/05/1989,       2.422
00:00:00 01/06/1989,       1.864
00:00:00 01/07/1989,       3.172
00:00:00 01/08/1989,       1.684
00:00:00 01/09/1989,       1.482
00:00:00 01/10/1989,       1.174
00:00:00 01/11/1989,       1.559
00:00:00 01/12/1989,       5.698
00:00:00 01/01/1990,       3.032
00:00:00 01/02/1990,       1.835
00:00:00 01/03/1990,       3.922
00:00:00 01/04/1990,       2.813
00:00:00 01/05/1990,       5.279
00:00:00 01/06/1990,       2.243
00:00:00 01/07/1990,       1.729
00:00:00 01/08/1990,       1.857
00:00:00 01/09/1990,       1.565
00:00:00 01/10/1990,       1.535
00:00:00 01/11/1990,       1.710
00:00:00 01/12/1990,       1.438
00:00:00 01/01/1991,       4.266
