Date,A2H024
1/1/1966,
2/1/1966,0.005
3/1/1966,0.006
4/1/1966,0.003
5/1/1966,0.002
6/1/1966,0.002
7/1/1966,0.002
8/1/1966,
9/1/1966,0.001
10/1/1966,
11/1/1966,
12/1/1966,0.001
1/1/1967,0.003
2/1/1967,0.005
3/1/1967,0.03
4/1/1967,0.07
5/1/1967,0.033
6/1/1967,0.037
7/1/1967,0.047
8/1/1967,0.022
9/1/1967,0.029
10/1/1967,0.012
11/1/1967,0.01
12/1/1967,0.012
1/1/1968,0.012
2/1/1968,0.011
3/1/1968,0.006
4/1/1968,
5/1/1968,0.015
6/1/1968,0.012
7/1/1968,0.011
8/1/1968,0.011
9/1/1968,0.009
10/1/1968,0.009
11/1/1968,0.006
12/1/1968,0.006
1/1/1969,0.005
2/1/1969,0.003
3/1/1969,0.005
4/1/1969,0.005
5/1/1969,0.006
6/1/1969,0.005
7/1/1969,0.005
8/1/1969,0.005
9/1/1969,
10/1/1969,0.004
11/1/1969,0.007
12/1/1969,0.012
1/1/1970,0.018
2/1/1970,0.008
3/1/1970,0.011
4/1/1970,0.006
5/1/1970,0.004
6/1/1970,0.005
7/1/1970,0.005
8/1/1970,0.005
9/1/1970,0.004
10/1/1970,0.004
11/1/1970,0.006
12/1/1970,0.012
1/1/1971,0.013
2/1/1971,0.024
3/1/1971,0.012
4/1/1971,0.018
5/1/1971,
6/1/1971,0.036
7/1/1971,0.021
8/1/1971,0.02
9/1/1971,0.016
10/1/1971,0.014
11/1/1971,0.01
12/1/1971,0.012
1/1/1972,0.018
2/1/1972,0.018
3/1/1972,0.011
4/1/1972,0.032
5/1/1972,0.02
6/1/1972,0.019
7/1/1972,0.014
8/1/1972,0.012
9/1/1972,0.01
10/1/1972,0.008
11/1/1972,0.007
12/1/1972,
1/1/1973,0.006
2/1/1973,0.007
3/1/1973,0.009
4/1/1973,0.01
5/1/1973,
6/1/1973,0.005
7/1/1973,
8/1/1973,
9/1/1973,
10/1/1973,
11/1/1973,
12/1/1973,
1/1/1974,0.007
2/1/1974,0.006
3/1/1974,
4/1/1974,
5/1/1974,
6/1/1974,0.02
7/1/1974,0.013
8/1/1974,0.011
9/1/1974,
10/1/1974,
11/1/1974,
12/1/1974,0.007
1/1/1975,0.007
2/1/1975,0.022
3/1/1975,0.067
4/1/1975,0.067
5/1/1975,0.089
6/1/1975,0.048
7/1/1975,0.036
8/1/1975,
9/1/1975,0.014
10/1/1975,0.009
11/1/1975,0.006
12/1/1975,0.013
1/1/1976,0.049
2/1/1976,
3/1/1976,
4/1/1976,
5/1/1976,
6/1/1976,
7/1/1976,
