Time,A2H034
and,140
Date,Discharge (Cumecs)
,Mean
1/3/1964 0:00,
1/4/1964 0:00,0.024
1/5/1964 0:00,0.269
1/6/1964 0:00,0.338
1/7/1964 0:00,0.337
1/8/1964 0:00,0.241
1/9/1964 0:00,0.232
1/10/1964 0:00,0.21
1/11/1964 0:00,0.187
1/12/1964 0:00,
1/1/1965 0:00,
1/2/1965 0:00,
1/3/1965 0:00,
1/4/1965 0:00,
1/5/1965 0:00,
1/6/1965 0:00,
1/7/1965 0:00,
1/8/1965 0:00,
1/9/1965 0:00,
1/10/1965 0:00,
1/11/1965 0:00,0.099
1/12/1965 0:00,0.151
1/1/1966 0:00,0.132
1/2/1966 0:00,0.231
1/3/1966 0:00,0.515
1/4/1966 0:00,0.143
1/5/1966 0:00,0.143
1/6/1966 0:00,0.15
1/7/1966 0:00,0.186
1/8/1966 0:00,0.172
1/9/1966 0:00,0.155
1/10/1966 0:00,0.129
1/11/1966 0:00,0.37
1/12/1966 0:00,
1/1/1967 0:00,
1/2/1967 0:00,
1/3/1967 0:00,
1/4/1967 0:00,
1/5/1967 0:00,
1/6/1967 0:00,
1/7/1967 0:00,0.415
1/8/1967 0:00,0.336
1/9/1967 0:00,0.324
1/10/1967 0:00,0.248
1/11/1967 0:00,0.295
1/12/1967 0:00,0.35
1/1/1968 0:00,
1/2/1968 0:00,
1/3/1968 0:00,
1/4/1968 0:00,
1/5/1968 0:00,0.236
1/6/1968 0:00,0.238
1/7/1968 0:00,0.237
1/8/1968 0:00,0.216
1/9/1968 0:00,0.216
1/10/1968 0:00,0.184
1/11/1968 0:00,0.165
1/12/1968 0:00,0.187
1/1/1969 0:00,
1/2/1969 0:00,
1/3/1969 0:00,
1/4/1969 0:00,
1/5/1969 0:00,
1/6/1969 0:00,
1/7/1969 0:00,
1/8/1969 0:00,
1/9/1969 0:00,
1/10/1969 0:00,
1/11/1969 0:00,
1/12/1969 0:00,
1/1/1970 0:00,
1/2/1970 0:00,0.185
1/3/1970 0:00,0.206
1/4/1970 0:00,0.152
1/5/1970 0:00,0.181
1/6/1970 0:00,0.184
1/7/1970 0:00,0.181
1/8/1970 0:00,0.182
1/9/1970 0:00,0.2
1/10/1970 0:00,0.166
1/11/1970 0:00,0.162
1/12/1970 0:00,0.169
1/1/1971 0:00,0.192
1/2/1971 0:00,0.513
1/3/1971 0:00,0.54
1/4/1971 0:00,0.251
1/5/1971 0:00,0.821
1/6/1971 0:00,0.297
1/7/1971 0:00,0.253
1/8/1971 0:00,0.242
1/9/1971 0:00,0.225
1/10/1971 0:00,0.247
1/11/1971 0:00,0.206
1/12/1971 0:00,
1/1/1972 0:00,0.247
1/2/1972 0:00,0.583
1/3/1972 0:00,0.314
1/4/1972 0:00,0.277
1/5/1972 0:00,0.229
1/6/1972 0:00,0.237
1/7/1972 0:00,0.234
1/8/1972 0:00,0.237
1/9/1972 0:00,0.235
1/10/1972 0:00,0.198
1/11/1972 0:00,0.183
1/12/1972 0:00,0.315
1/1/1973 0:00,0.172
1/2/1973 0:00,0.156
1/3/1973 0:00,0.161
1/4/1973 0:00,
1/5/1973 0:00,
1/6/1973 0:00,0.202
1/7/1973 0:00,0.189
1/8/1973 0:00,0.185
1/9/1973 0:00,0.178
1/10/1973 0:00,0.16
1/11/1973 0:00,0.183
1/12/1973 0:00,0.17
1/1/1974 0:00,0.205
1/2/1974 0:00,0.22
1/3/1974 0:00,0.262
1/4/1974 0:00,0.202
1/5/1974 0:00,0.324
1/6/1974 0:00,0.204
1/7/1974 0:00,0.192
1/8/1974 0:00,0.192
1/9/1974 0:00,0.187
1/10/1974 0:00,0.181
1/11/1974 0:00,0.156
1/12/1974 0:00,0.222
1/1/1975 0:00,0.36
1/2/1975 0:00,0.396
1/3/1975 0:00,0.485
1/4/1975 0:00,
1/5/1975 0:00,0.625
1/6/1975 0:00,0.343
1/7/1975 0:00,0.299
1/8/1975 0:00,0.281
1/9/1975 0:00,0.247
1/10/1975 0:00,0.218
1/11/1975 0:00,0.185
1/12/1975 0:00,0.185
1/1/1976 0:00,0.432
1/2/1976 0:00,0.608
1/3/1976 0:00,0.366
1/4/1976 0:00,0.741
1/5/1976 0:00,0.691
1/6/1976 0:00,1.214
1/7/1976 0:00,0.53
1/8/1976 0:00,0.497
1/9/1976 0:00,0.444
1/10/1976 0:00,0.383
1/11/1976 0:00,0.776
1/12/1976 0:00,0.413
1/1/1977 0:00,0.328
1/2/1977 0:00,0.478
1/3/1977 0:00,1.006
1/4/1977 0:00,0.99
1/5/1977 0:00,0.675
1/6/1977 0:00,0.522
1/7/1977 0:00,0.496
1/8/1977 0:00,0.473
1/9/1977 0:00,0.432
1/10/1977 0:00,0.409
1/11/1977 0:00,0.392
1/12/1977 0:00,0.35
1/1/1978 0:00,0.362
1/2/1978 0:00,1.169
1/3/1978 0:00,1.623
1/4/1978 0:00,1.024
1/5/1978 0:00,0.718
1/6/1978 0:00,0.627
1/7/1978 0:00,0.603
1/8/1978 0:00,0.619
1/9/1978 0:00,0.539
1/10/1978 0:00,0.501
1/11/1978 0:00,0.525
1/12/1978 0:00,0.423
1/1/1979 0:00,0.432
1/2/1979 0:00,0.429
1/3/1979 0:00,0.469
1/4/1979 0:00,0.347
1/5/1979 0:00,0.344
1/6/1979 0:00,0.321
1/7/1979 0:00,0.35
1/8/1979 0:00,0.374
1/9/1979 0:00,0.368
1/10/1979 0:00,0.338
1/11/1979 0:00,0.445
1/12/1979 0:00,0.793
1/1/1980 0:00,0.43
1/2/1980 0:00,0.397
1/3/1980 0:00,0.522
1/4/1980 0:00,0.363
1/5/1980 0:00,0.338
1/6/1980 0:00,0.329
1/7/1980 0:00,0.338
1/8/1980 0:00,0.342
1/9/1980 0:00,0.325
1/10/1980 0:00,0.322
1/11/1980 0:00,0.274
1/12/1980 0:00,0.372
1/1/1981 0:00,0.453
1/2/1981 0:00,0.419
1/3/1981 0:00,0.433
1/4/1981 0:00,0.446
1/5/1981 0:00,0.289
1/6/1981 0:00,0.3
1/7/1981 0:00,0.316
1/8/1981 0:00,0.314
1/9/1981 0:00,0.309
1/10/1981 0:00,0.295
1/11/1981 0:00,0.299
1/12/1981 0:00,0.242
1/1/1982 0:00,0.374
1/2/1982 0:00,0.565
1/3/1982 0:00,0.261
1/4/1982 0:00,0.226
1/5/1982 0:00,0.232
1/6/1982 0:00,0.246
1/7/1982 0:00,0.267
1/8/1982 0:00,0.275
1/9/1982 0:00,0.265
1/10/1982 0:00,0.24
1/11/1982 0:00,0.237
1/12/1982 0:00,0.26
1/1/1983 0:00,0.231
1/2/1983 0:00,0.205
1/3/1983 0:00,0.171
1/4/1983 0:00,0.165
1/5/1983 0:00,0.183
1/6/1983 0:00,0.185
1/7/1983 0:00,0.232
1/8/1983 0:00,0.226
1/9/1983 0:00,0.208
1/10/1983 0:00,0.164
1/11/1983 0:00,0.205
1/12/1983 0:00,0.256
1/1/1984 0:00,0.288
1/2/1984 0:00,0.233
1/3/1984 0:00,0.134
1/4/1984 0:00,0.181
1/5/1984 0:00,0.178
1/6/1984 0:00,0.167
1/7/1984 0:00,0.197
1/8/1984 0:00,0.21
1/9/1984 0:00,0.182
1/10/1984 0:00,0.167
1/11/1984 0:00,0.179
1/12/1984 0:00,0.153
1/1/1985 0:00,0.201
1/2/1985 0:00,0.593
1/3/1985 0:00,0.185
1/4/1985 0:00,0.243
1/5/1985 0:00,0.175
1/6/1985 0:00,0.165
1/7/1985 0:00,0.19
1/8/1985 0:00,0.192
1/9/1985 0:00,0.184
1/10/1985 0:00,0.152
1/11/1985 0:00,0.144
1/12/1985 0:00,0.323
1/1/1986 0:00,0.192
1/2/1986 0:00,0.182
1/3/1986 0:00,0.16
1/4/1986 0:00,0.131
1/5/1986 0:00,0.147
1/6/1986 0:00,0.135
1/7/1986 0:00,0.178
1/8/1986 0:00,0.173
1/9/1986 0:00,0.163
1/10/1986 0:00,0.142
1/11/1986 0:00,0.178
1/12/1986 0:00,0.222
1/1/1987 0:00,0.299
1/2/1987 0:00,0.314
1/3/1987 0:00,0.285
1/4/1987 0:00,0.498
1/5/1987 0:00,0.256
1/6/1987 0:00,0.201
1/7/1987 0:00,0.222
1/8/1987 0:00,0.221
1/9/1987 0:00,0.205
1/10/1987 0:00,0.353
1/11/1987 0:00,0.266
1/12/1987 0:00,0.292
1/1/1988 0:00,0.277
1/2/1988 0:00,0.208
1/3/1988 0:00,0.23
1/4/1988 0:00,0.428
1/5/1988 0:00,0.243
1/6/1988 0:00,0.198
1/7/1988 0:00,0.189
1/8/1988 0:00,0.209
1/9/1988 0:00,0.207
1/10/1988 0:00,0.204
1/11/1988 0:00,0.188
1/12/1988 0:00,0.165
1/1/1989 0:00,0.207
1/2/1989 0:00,0.183
1/3/1989 0:00,0.294
1/4/1989 0:00,0.179
1/5/1989 0:00,0.211
1/6/1989 0:00,0.217
1/7/1989 0:00,0.261
1/8/1989 0:00,0.198
1/9/1989 0:00,0.213
1/10/1989 0:00,0.184
1/11/1989 0:00,0.195
1/12/1989 0:00,0.29
1/1/1990 0:00,0.227
1/2/1990 0:00,0.171
1/3/1990 0:00,0.26
1/4/1990 0:00,0.23
1/5/1990 0:00,0.257
1/6/1990 0:00,0.244
1/7/1990 0:00,0.222
1/8/1990 0:00,0.218
1/9/1990 0:00,0.215
1/10/1990 0:00,0.194
1/11/1990 0:00,0.173
1/12/1990 0:00,0.135
