"Time","C2H015"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/10/1952,""
00:00:00 01/11/1952,       0.386
00:00:00 01/12/1952,       2.741
00:00:00 01/01/1953,       4.306
00:00:00 01/02/1953,       2.616
00:00:00 01/03/1953,       3.225
00:00:00 01/04/1953,       3.119
00:00:00 01/05/1953,       3.926
00:00:00 01/06/1953,       1.520
00:00:00 01/07/1953,       1.519
00:00:00 01/08/1953,       1.225
00:00:00 01/09/1953,       1.064
00:00:00 01/10/1953,       0.509
00:00:00 01/11/1953,       0.940
00:00:00 01/12/1953,       2.113
00:00:00 01/01/1954,       2.021
00:00:00 01/02/1954,""
00:00:00 01/03/1954,       3.826
00:00:00 01/04/1954,       2.108
00:00:00 01/05/1954,       1.401
00:00:00 01/06/1954,       1.798
00:00:00 01/07/1954,       1.266
00:00:00 01/08/1954,       1.103
00:00:00 01/09/1954,       0.738
00:00:00 01/10/1954,       0.535
00:00:00 01/11/1954,       0.707
00:00:00 01/12/1954,       2.185
00:00:00 01/01/1955,       2.220
00:00:00 01/02/1955,       2.917
00:00:00 01/03/1955,       4.387
00:00:00 01/04/1955,       5.417
00:00:00 01/05/1955,       4.136
00:00:00 01/06/1955,       4.722
00:00:00 01/07/1955,       3.340
00:00:00 01/08/1955,       2.496
00:00:00 01/09/1955,       1.893
00:00:00 01/10/1955,       1.282
00:00:00 01/11/1955,       1.698
00:00:00 01/12/1955,       2.271
00:00:00 01/01/1956,       4.293
00:00:00 01/02/1956,       3.435
00:00:00 01/03/1956,       1.692
00:00:00 01/04/1956,       4.760
00:00:00 01/05/1956,       2.825
00:00:00 01/06/1956,       3.380
00:00:00 01/07/1956,       2.696
00:00:00 01/08/1956,       2.294
00:00:00 01/09/1956,       1.537
00:00:00 01/10/1956,       1.615
00:00:00 01/11/1956,       1.240
00:00:00 01/12/1956,       3.207
00:00:00 01/01/1957,       3.509
00:00:00 01/02/1957,       2.036
00:00:00 01/03/1957,       3.736
00:00:00 01/04/1957,       5.185
00:00:00 01/05/1957,       2.787
00:00:00 01/06/1957,       1.977
00:00:00 01/07/1957,       2.549
00:00:00 01/08/1957,       3.763
00:00:00 01/09/1957,       2.420
00:00:00 01/10/1957,       3.485
00:00:00 01/11/1957,       4.417
00:00:00 01/12/1957,       2.275
00:00:00 01/01/1958,       3.095
00:00:00 01/02/1958,       4.059
00:00:00 01/03/1958,       4.271
00:00:00 01/04/1958,       4.053
00:00:00 01/05/1958,       4.480
00:00:00 01/06/1958,       2.429
00:00:00 01/07/1958,       2.489
00:00:00 01/08/1958,       2.257
00:00:00 01/09/1958,""
00:00:00 01/10/1958,""
00:00:00 01/11/1958,""
00:00:00 01/12/1958,       2.302
00:00:00 01/01/1959,       4.032
00:00:00 01/02/1959,       3.491
00:00:00 01/03/1959,""
00:00:00 01/04/1959,       2.027
00:00:00 01/05/1959,       0.828
00:00:00 01/06/1959,       2.874
00:00:00 01/07/1959,       1.732
00:00:00 01/08/1959,       1.818
00:00:00 01/09/1959,       1.320
00:00:00 01/10/1959,""
00:00:00 01/11/1959,       1.257
00:00:00 01/12/1959,""
00:00:00 01/01/1960,""
00:00:00 01/02/1960,       2.182
00:00:00 01/03/1960,       1.792
00:00:00 01/04/1960,       2.683
00:00:00 01/05/1960,       1.968
00:00:00 01/06/1960,       2.421
00:00:00 01/07/1960,       1.803
00:00:00 01/08/1960,       1.630
00:00:00 01/09/1960,       1.645
00:00:00 01/10/1960,""
00:00:00 01/11/1960,""
00:00:00 01/12/1960,       2.061
00:00:00 01/01/1961,       4.445
00:00:00 01/02/1961,       2.372
00:00:00 01/03/1961,""
00:00:00 01/04/1961,""
00:00:00 01/05/1961,       4.180
00:00:00 01/06/1961,       2.614
00:00:00 01/07/1961,       2.935
00:00:00 01/08/1961,       2.166
00:00:00 01/09/1961,""
00:00:00 01/10/1961,       0.822
00:00:00 01/11/1961,       0.525
00:00:00 01/12/1961,       1.804
00:00:00 01/01/1962,       3.376
00:00:00 01/02/1962,       1.678
00:00:00 01/03/1962,""
00:00:00 01/04/1962,       1.689
00:00:00 01/05/1962,       2.710
00:00:00 01/06/1962,       2.251
00:00:00 01/07/1962,       1.890
00:00:00 01/08/1962,       1.800
00:00:00 01/09/1962,       1.420
00:00:00 01/10/1962,       0.931
00:00:00 01/11/1962,       0.719
00:00:00 01/12/1962,       2.657
00:00:00 01/01/1963,       2.171
00:00:00 01/02/1963,       2.489
00:00:00 01/03/1963,       1.928
00:00:00 01/04/1963,       1.462
00:00:00 01/05/1963,       2.870
00:00:00 01/06/1963,       2.153
00:00:00 01/07/1963,       2.966
00:00:00 01/08/1963,       3.394
00:00:00 01/09/1963,       1.850
00:00:00 01/10/1963,       1.233
00:00:00 01/11/1963,""
00:00:00 01/12/1963,       3.136
00:00:00 01/01/1964,       3.241
00:00:00 01/02/1964,       3.628
00:00:00 01/03/1964,       3.366
00:00:00 01/04/1964,       2.146
00:00:00 01/05/1964,       2.580
00:00:00 01/06/1964,       2.278
00:00:00 01/07/1964,       2.438
00:00:00 01/08/1964,       2.306
00:00:00 01/09/1964,       1.861
00:00:00 01/10/1964,       1.374
00:00:00 01/11/1964,       2.466
00:00:00 01/12/1964,       2.817
00:00:00 01/01/1965,       2.792
00:00:00 01/02/1965,       3.808
00:00:00 01/03/1965,       3.619
00:00:00 01/04/1965,       1.146
00:00:00 01/05/1965,       2.817
00:00:00 01/06/1965,       2.162
00:00:00 01/07/1965,       2.330
00:00:00 01/08/1965,       2.931
00:00:00 01/09/1965,       2.004
00:00:00 01/10/1965,       1.313
00:00:00 01/11/1965,       0.762
00:00:00 01/12/1965,       0.631
00:00:00 01/01/1966,       1.407
00:00:00 01/02/1966,       1.978
00:00:00 01/03/1966,       4.283
00:00:00 01/04/1966,       1.838
00:00:00 01/05/1966,       1.104
00:00:00 01/06/1966,       1.674
00:00:00 01/07/1966,       1.989
00:00:00 01/08/1966,       1.832
00:00:00 01/09/1966,       1.349
00:00:00 01/10/1966,       0.989
00:00:00 01/11/1966,       1.510
00:00:00 01/12/1966,       1.461
00:00:00 01/01/1967,       2.871
00:00:00 01/02/1967,       2.317
00:00:00 01/03/1967,       3.996
00:00:00 01/04/1967,       3.975
00:00:00 01/05/1967,       4.187
00:00:00 01/06/1967,       4.735
00:00:00 01/07/1967,       4.401
00:00:00 01/08/1967,       3.550
00:00:00 01/09/1967,       3.316
00:00:00 01/10/1967,       2.166
00:00:00 01/11/1967,       1.108
00:00:00 01/12/1967,       4.404
00:00:00 01/01/1968,       4.297
00:00:00 01/02/1968,       2.707
00:00:00 01/03/1968,       2.262
00:00:00 01/04/1968,       4.427
00:00:00 01/05/1968,       4.919
00:00:00 01/06/1968,       3.665
00:00:00 01/07/1968,       3.145
00:00:00 01/08/1968,       2.803
00:00:00 01/09/1968,       2.143
00:00:00 01/10/1968,       1.513
00:00:00 01/11/1968,       0.757
00:00:00 01/12/1968,       3.006
00:00:00 01/01/1969,       2.941
00:00:00 01/02/1969,       1.469
00:00:00 01/03/1969,       2.013
00:00:00 01/04/1969,       4.249
00:00:00 01/05/1969,       3.998
00:00:00 01/06/1969,       3.632
00:00:00 01/07/1969,       3.536
00:00:00 01/08/1969,       2.656
00:00:00 01/09/1969,       2.172
00:00:00 01/10/1969,       1.157
00:00:00 01/11/1969,       2.147
00:00:00 01/12/1969,       3.093
00:00:00 01/01/1970,       5.760
00:00:00 01/02/1970,       3.566
00:00:00 01/03/1970,       4.669
00:00:00 01/04/1970,       2.322
00:00:00 01/05/1970,       2.076
00:00:00 01/06/1970,       3.164
00:00:00 01/07/1970,       2.949
00:00:00 01/08/1970,       3.062
00:00:00 01/09/1970,       2.228
00:00:00 01/10/1970,       1.258
00:00:00 01/11/1970,       2.099
00:00:00 01/12/1970,       3.189
00:00:00 01/01/1971,       1.917
00:00:00 01/02/1971,       4.649
00:00:00 01/03/1971,       5.801
00:00:00 01/04/1971,       3.926
00:00:00 01/05/1971,       4.415
00:00:00 01/06/1971,       5.102
00:00:00 01/07/1971,       3.689
00:00:00 01/08/1971,       3.293
00:00:00 01/09/1971,       2.442
00:00:00 01/10/1971,       2.457
00:00:00 01/11/1971,       1.575
00:00:00 01/12/1971,       4.215
00:00:00 01/01/1972,       4.017
00:00:00 01/02/1972,""
00:00:00 01/03/1972,""
00:00:00 01/04/1972,       4.272
00:00:00 01/05/1972,       3.348
00:00:00 01/06/1972,       3.607
00:00:00 01/07/1972,       2.387
00:00:00 01/08/1972,       2.296
00:00:00 01/09/1972,       1.675
00:00:00 01/10/1972,       1.107
00:00:00 01/11/1972,       1.266
00:00:00 01/12/1972,       2.178
00:00:00 01/01/1973,       2.462
00:00:00 01/02/1973,       1.050
00:00:00 01/03/1973,       1.614
00:00:00 01/04/1973,       1.316
00:00:00 01/05/1973,       3.584
00:00:00 01/06/1973,       1.136
00:00:00 01/07/1973,       1.097
00:00:00 01/08/1973,       1.889
00:00:00 01/09/1973,       3.168
00:00:00 01/10/1973,       2.224
00:00:00 01/11/1973,       3.959
00:00:00 01/12/1973,       4.473
00:00:00 01/01/1974,       4.958
00:00:00 01/02/1974,       5.434
00:00:00 01/03/1974,       5.365
00:00:00 01/04/1974,       5.258
00:00:00 01/05/1974,       6.049
00:00:00 01/06/1974,       5.373
00:00:00 01/07/1974,       4.644
00:00:00 01/08/1974,       4.582
00:00:00 01/09/1974,       3.798
00:00:00 01/10/1974,       3.305
00:00:00 01/11/1974,       2.759
00:00:00 01/12/1974,       5.737
00:00:00 01/01/1975,       5.673
00:00:00 01/02/1975,       5.733
00:00:00 01/03/1975,       6.230
00:00:00 01/04/1975,       6.230
00:00:00 01/05/1975,       6.230
00:00:00 01/06/1975,       6.230
00:00:00 01/07/1975,       6.230
00:00:00 01/08/1975,       6.292
00:00:00 01/09/1975,       5.800
00:00:00 01/10/1975,       4.402
00:00:00 01/11/1975,       4.076
00:00:00 01/12/1975,       4.900
00:00:00 01/01/1976,       5.534
00:00:00 01/02/1976,       6.099
00:00:00 01/03/1976,       6.099
00:00:00 01/04/1976,       6.299
00:00:00 01/05/1976,       6.425
00:00:00 01/06/1976,       6.425
00:00:00 01/07/1976,""
00:00:00 01/08/1976,""
00:00:00 01/09/1976,""
00:00:00 01/10/1976,""
00:00:00 01/11/1976,       6.099
00:00:00 01/12/1976,       6.322
00:00:00 01/01/1977,       5.714
00:00:00 01/02/1977,       5.655
00:00:00 01/03/1977,       5.967
00:00:00 01/04/1977,       5.967
00:00:00 01/05/1977,       5.967
00:00:00 01/06/1977,       5.967
00:00:00 01/07/1977,       5.967
00:00:00 01/08/1977,       5.967
00:00:00 01/09/1977,       5.926
00:00:00 01/10/1977,       4.650
