"Time,""C2H122"""||
||
Time |Date |Mean Discharge in Cumecs 
00:00:00|1981/02/01|
00:00:00|1981/03/01|0.801
00:00:00|1981/04/01|56.038
00:00:00|1981/05/01|9.859
00:00:00|1981/06/01|8.772
00:00:00|1981/07/01|10.252
00:00:00|1981/08/01|10.779
00:00:00|1981/09/01|11.957
00:00:00|1981/10/01|12.449
00:00:00|1981/11/01|12.222
00:00:00|1981/12/01|21.664
00:00:00|1982/01/01|6.935
00:00:00|1982/02/01|6.748
00:00:00|1982/03/01|15.755
00:00:00|1982/04/01|16.832
00:00:00|1982/05/01|15.850
00:00:00|1982/06/01|16.299
00:00:00|1982/07/01|14.748
00:00:00|1982/08/01|13.011
00:00:00|1982/09/01|18.985
00:00:00|1982/10/01|24.513
00:00:00|1982/11/01|22.805
00:00:00|1982/12/01|22.036
00:00:00|1983/01/01|21.848
00:00:00|1983/02/01|19.656
00:00:00|1983/03/01|21.028
00:00:00|1983/04/01|22.782
00:00:00|1983/05/01|17.755
00:00:00|1983/06/01|15.264
00:00:00|1983/07/01|9.171
00:00:00|1983/08/01|13.517
00:00:00|1983/09/01|9.618
00:00:00|1983/10/01|21.576
00:00:00|1983/11/01|12.514
00:00:00|1983/12/01|6.188
00:00:00|1984/01/01|1.075
00:00:00|1984/02/01|0.511
00:00:00|1984/03/01|11.395
00:00:00|1984/04/01|24.289
00:00:00|1984/05/01|21.615
00:00:00|1984/06/01|6.891
00:00:00|1984/07/01|2.415
00:00:00|1984/08/01|15.787
00:00:00|1984/09/01|31.614
00:00:00|1984/10/01|36.521
00:00:00|1984/11/01|36.477
00:00:00|1984/12/01|15.717
00:00:00|1985/01/01|11.333
00:00:00|1985/02/01|12.952
00:00:00|1985/03/01|9.756
00:00:00|1985/04/01|2.645
00:00:00|1985/05/01|6.985
00:00:00|1985/06/01|7.983
00:00:00|1985/07/01|20.898
00:00:00|1985/08/01|22.208
00:00:00|1985/09/01|32.309
00:00:00|1985/10/01|40.084
00:00:00|1985/11/01|34.605
00:00:00|1985/12/01|8.305
00:00:00|1986/01/01|4.842
00:00:00|1986/02/01|3.441
00:00:00|1986/03/01|3.562
00:00:00|1986/04/01|17.320
00:00:00|1986/05/01|6.729
00:00:00|1986/06/01|8.151
00:00:00|1986/07/01|17.383
00:00:00|1986/08/01|19.746
00:00:00|1986/09/01|29.705
00:00:00|1986/10/01|30.132
00:00:00|1986/11/01|19.117
00:00:00|1986/12/01|7.300
00:00:00|1987/01/01|6.044
00:00:00|1987/02/01|6.553
00:00:00|1987/03/01|8.185
00:00:00|1987/04/01|7.686
00:00:00|1987/05/01|7.699
00:00:00|1987/06/01|7.603
00:00:00|1987/07/01|17.355
00:00:00|1987/08/01|27.651
00:00:00|1987/09/01|25.557
00:00:00|1987/10/01|14.372
00:00:00|1987/11/01|7.529
00:00:00|1987/12/01|7.872
00:00:00|1988/01/01|60.141
00:00:00|1988/02/01|70.762
00:00:00|1988/03/01|35.798
00:00:00|1988/04/01|327.425
00:00:00|1988/05/01|12.772
00:00:00|1988/06/01|8.042
00:00:00|1988/07/01|7.406
00:00:00|1988/08/01|6.953
00:00:00|1988/09/01|6.758
00:00:00|1988/10/01|6.568
00:00:00|1988/11/01|74.659
00:00:00|1988/12/01|37.325
00:00:00|1989/01/01|43.458
00:00:00|1989/02/01|138.897
00:00:00|1989/03/01|450.032
00:00:00|1989/04/01|105.761
00:00:00|1989/05/01|7.402
00:00:00|1989/06/01|7.775
00:00:00|1989/07/01|8.340
00:00:00|1989/08/01|17.455
00:00:00|1989/09/01|9.702
00:00:00|1989/10/01|10.642
00:00:00|1989/11/01|13.502
00:00:00|1989/12/01|8.176
00:00:00|1990/01/01|9.201
00:00:00|1990/02/01|8.208
00:00:00|1990/03/01|12.165
00:00:00|1990/04/01|7.622
00:00:00|1990/05/01|7.388
00:00:00|1990/06/01|8.312
00:00:00|1990/07/01|7.862
00:00:00|1990/08/01|9.892
00:00:00|1990/09/01|19.058
00:00:00|1990/10/01|16.198
00:00:00|1990/11/01|17.128
00:00:00|1990/12/01|22.432
00:00:00|1991/01/01|18.822
00:00:00|1991/02/01|13.829
00:00:00|1991/03/01|11.961
00:00:00|1991/04/01|13.973
00:00:00|1991/05/01|10.582
00:00:00|1991/06/01|12.197
00:00:00|1991/07/01|13.909
00:00:00|1991/08/01|12.817
00:00:00|1991/09/01|11.322
00:00:00|1991/10/01|11.288
00:00:00|1991/11/01|9.917
00:00:00|1991/12/01|
00:00:00|1992/01/01|10.273
00:00:00|1992/02/01|13.239
00:00:00|1992/03/01|19.465
00:00:00|1992/04/01|16.505
00:00:00|1992/05/01|12.115
00:00:00|1992/06/01|11.321
00:00:00|1992/07/01|11.199
00:00:00|1992/08/01|31.888
00:00:00|1992/09/01|36.228
00:00:00|1992/10/01|15.921
00:00:00|1992/11/01|24.164
00:00:00|1992/12/01|20.929
00:00:00|1993/01/01|10.949
00:00:00|1993/02/01|17.528
00:00:00|1993/03/01|10.146
00:00:00|1993/04/01|11.006
00:00:00|1993/05/01|12.074
00:00:00|1993/06/01|15.158
00:00:00|1993/07/01|15.360
00:00:00|1993/08/01|32.086
00:00:00|1993/09/01|34.911
00:00:00|1993/10/01|42.286
00:00:00|1993/11/01|14.116
00:00:00|1993/12/01|10.018
00:00:00|1994/01/01|8.720
00:00:00|1994/02/01|7.085
00:00:00|1994/03/01|7.744
00:00:00|1994/04/01|7.477
00:00:00|1994/05/01|7.116
00:00:00|1994/06/01|7.630
00:00:00|1994/07/01|9.684
00:00:00|1994/08/01|11.470
00:00:00|1994/09/01|12.540
00:00:00|1994/10/01|16.101
00:00:00|1994/11/01|32.852
00:00:00|1994/12/01|16.421
00:00:00|1995/01/01|42.636
00:00:00|1995/02/01|41.013
00:00:00|1995/03/01|42.223
00:00:00|1995/04/01|38.802
00:00:00|1995/05/01|8.750
00:00:00|1995/06/01|11.622
00:00:00|1995/07/01|11.653
00:00:00|1995/08/01|16.256
00:00:00|1995/09/01|20.795
00:00:00|1995/10/01|35.260
00:00:00|1995/11/01|40.790
00:00:00|1995/12/01|13.359
00:00:00|1996/01/01|76.465
